Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL06061675AZ,Pentasa Sachet Prolonged Release Granules 1g,MAL06061675AZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,Ferring International Center SA,"CHEMIN DE LA VERGOGNAUSAZ 50, 1162 ST-PREX SWITZERLAND"
MAL06061679XZ,Flavettes Neuroforte Tablet,MAL06061679XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06061696AZ,Ciprocep Tablet 500mg,MAL06061696AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. PHARMA CO LTD,"101 SOI LADPRAO 124 (SAWATDIKAN) , LADPRAO ROAD, PHLAPPHLA, WANGTHONGLANG, , BANGKOK 10310 THAILAND"
MAL06061699AZ,Proezine Tablet 25mg Film Coated,MAL06061699AZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06071075AZ,ANZACK TABLETS 20 MG,MAL06071075AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL06071077AZ,Sonap Forte Caplet 550mg,MAL06071077AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Sriprasit Pharma Co. Ltd.,"216 MOO 6 SUANLUANG, KRATHUM BAEN, SAMUT SAKHON 74110 THAILAND"
MAL06081196AZ,Cephanmycin Capsule 500mg,MAL06081196AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD.","(TAICHUNG YOUTH FACTORY III) NO. 26 KUNG LIU RD. YOUTH INDUSTRIAL DISTRICT TACHIA 437, TAICHUNG TAIWAN"
MAL06081203AZ,BETAC 20MG TABLETS,MAL06081203AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL06081206AZ,LAMITOR 100MG TABLET,MAL06081206AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICAL LIMITED,"INDRAD, TALUKA-KADI, MEHSANA-382 271, GUJARAT 382 271 INDIA"
MAL06081207AZ,LAMITOR 50MG TABLET,MAL06081207AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICAL LIMITED,"INDRAD, TALUKA-KADI, MEHSANA-382 271, GUJARAT 382 271 INDIA"
MAL06091374XRS,INTRALIPID 20%,MAL06091374XRS,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,FRESENIUS KABI SSPC,"NO 16 BEIZHA ROAD, MASHAN DISTRICT, WUXI, JIANGSU PROVINCE, 214092 CHINA"
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,MAL06091382ARZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL06091408AZ,Yucomy Shampoo 2%w/w,MAL06091408AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL06091431XC,Kordel's Glucosamine 550 Capsule,MAL06091431XC,CAMBERT(M) SDN. BHD.,"8TH FLOOR, WISMA CONSPLANT 1, NO. 2, JALAN SS16/4, 47500 SUBANG JAYA MALAYSIA",03-5638 3660,Vitaco Health (NZ) Ltd.,"CNR KORDEL PLACE & ACCENT DRIVE, EAST TAMAKI NEW ZEALAND"
MAL06091506X,Three Legs Green Balsem,MAL06091506X,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK, TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA",072371115,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA"
MAL06100555AZ,"Androgel 50mg, gel of testosterone 1%",MAL06100555AZ,BREGO LIFE SCIENCES SDN. BHD,"NO. 5, JALAN MANIS 6, TAMAN SEGAR, 56100 CHERAS MALAYSIA",03-91349797,LABORATOIRES BESINS INTERNATIONAL,"13, RUE PERIER MONTROUGE 92120 FRANCE"
MAL06100579AZ,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL06100580AZ,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL06111294ACSZ,Pyronium Injection 200mcg/ml,MAL06111294ACSZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL06111398AZ,Tracidol Capsule 50mg,MAL06111398AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL06121025ACZ,Tracidol 100 mg prolonged release capsule,MAL06121025ACZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,SMB TECHNOLOGY S.A.,"ZONING INDUSTRIEL, RUE DU PARC INDUSTRIEL 39 MARCHE-EN-FAMENNE 6900 BELGIUM"
MAL06121027AZ,FLUCOZOLE (100 MG CAPSULES),MAL06121027AZ,SPG PHARMA (MALAYSIA) SDN BHD,"SUITE 1701, BLOCK A DAMANSARA INTAN E-BUSINESS PARK NO.1, JALAN SS20/27 47400 PETALING JAYA MALAYSIA",03-77331702,SIAM BHEASACH CO LTD,"123 SOI CHOKECHAIRUAMMITR, VIBHAVADI-RANGSIT ROAD, CHOMPHON, CHATUCHAK, BANGKOK 10900 AND 9 SOI CHOKECHAIRUAMMITR 3, VIBHAVADI-RANGSIT ROAD, DINDANG, DINDANG, BANGKOK 10400, THAILAND"
MAL06121028AZ,FLUCOZOLE (200 MG CAPSULES),MAL06121028AZ,SPG PHARMA (MALAYSIA) SDN BHD,"SUITE 1701, BLOCK A DAMANSARA INTAN E-BUSINESS PARK NO.1, JALAN SS20/27 47400 PETALING JAYA MALAYSIA",03-77331702,SIAM BHEASACH CO LTD,"123 SOI CHOKECHAIRUAMMITR, VIBHAVADI-RANGSIT ROAD, CHOMPHON, CHATUCHAK, BANGKOK 10900 AND 9 SOI CHOKECHAIRUAMMITR 3, VIBHAVADI-RANGSIT ROAD, DINDANG, DINDANG, BANGKOK 10400, THAILAND"
MAL06121030AZ,FLUCOZOLE (50 MG CAPSULES),MAL06121030AZ,SPG PHARMA (MALAYSIA) SDN BHD,"SUITE 1701, BLOCK A DAMANSARA INTAN E-BUSINESS PARK NO.1, JALAN SS20/27 47400 PETALING JAYA MALAYSIA",03-77331702,SIAM BHEASACH CO LTD,"123 SOI CHOKECHAIRUAMMITR, VIBHAVADI-RANGSIT ROAD, CHOMPHON, CHATUCHAK, BANGKOK 10900 AND 9 SOI CHOKECHAIRUAMMITR 3, VIBHAVADI-RANGSIT ROAD, DINDANG, DINDANG, BANGKOK 10400, THAILAND"
MAL06121051AZ,CIPROXOL ( Ciprofloxacin 0.2%w/v Intravenous Infusion BP ),MAL06121051AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL06121052X,Cartril-S 500mg Capsule,MAL06121052X,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL06121054X,Cartril-S 1500mg Powder,MAL06121054X,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL07010965AZ,Bacitracin-N Ointment,MAL07010965AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL07010967X,Sebitar Scalp Cleansing Treatment,MAL07010967X,EGO PHARM MALAYSIA SDN. BHD.,"1-6, BLOCK A, JAYA ONE, 72A JLN PROF DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379568868,EGO PHARM PTY LTD,"21-31,MALCOLM ROAD, BRAESIDE,VICTORIA 3195, AUSTRALIA"
MAL07021524XCR,Appeton Essentials Fish Oil With Omega-3,MAL07021524XCR,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,CAPSUGEL FRANCE,"10,RUE TIMKEN-68027, COLMAR, CEDEX FRANCE"
MAL07021536XZ,Champs Vitamin C Chewable 100mg (Strawberry),MAL07021536XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL07031137ACZ,Lofral 5mg Tablet,MAL07031137ACZ,MEPHARM (MALAYSIA) SDN. BHD.,"NO. 15, JALAN USJ1/19 TAMAN SUBANG PERMAI 47500 SUBANG MALAYSIA",03-56368088,Atlantic Pharma S.A.,"RUA DA TAPADA GRANDE, NO.2, ABRUNHEIRA,2710-089 SINTRA PORTUGAL"
MAL07031138ACZ,Lofral 10mg Tablet,MAL07031138ACZ,MEPHARM (MALAYSIA) SDN. BHD.,"NO. 15, JALAN USJ1/19 TAMAN SUBANG PERMAI 47500 SUBANG MALAYSIA",03-56368088,Atlantic Pharma S.A.,"RUA DA TAPADA GRANDE, NO.2, ABRUNHEIRA,2710-089 SINTRA PORTUGAL"
MAL07031274X,Homecare Davmorid Film Coated Tablet,MAL07031274X,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL07050013AZ,Doproct Rectal Ointment,MAL07050013AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,CONTINENTAL-PHARM CO. LTD.,"85/5 SOI CHAENGWATANA 12 YAK 4, THOONGSONGHONG, LAKSI, BANGKOK 10210, THAILAND"
MAL07050026AZ,Terasin Tablet 5mg,MAL07050026AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL07050027AZ,Terasin Tablet 2mg,MAL07050027AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL07050041AZ,Timazol Tablet 5mg,MAL07050041AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Sriprasit Pharma Co. Ltd.,"216 MOO 6 SUANLUANG, KRATHUM BAEN, SAMUT SAKHON 74110 THAILAND"
MAL07050225XZ,Avadol suspension 250 mg/5ml (Orange),MAL07050225XZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07050226XZ,Avadol suspension 250 mg/5ml (Strawberry),MAL07050226XZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07050894AZ,Diclac� 150 ID modified-release tablet,MAL07050894AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Salutas pharma GmbH,"OTTO-VON-GUERICKE-ALLEE 1 D-39179, BARLEBEN GERMANY"
MAL07050906AZ,Avaphen Cough Syrup (Raspberry Flavour),MAL07050906AZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07050954X,Air-X SF Tablet,MAL07050954X,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,"R.X. MANUFACTURING CO., LTD","76 MOO 10 SALAYA-BANGPASI ROOD,NARAPIROM, BANGLANE, NAKORNPATHOM,73130 73130 THAILAND"
MAL07061382AZ,INTRIL SR 1.5 MG TABLETS,MAL07061382AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD.,INDRAD - 382721 DIST. MEHSANA INDIA
MAL07061564X,Appeton Essentials MV21G + Selenium,MAL07061564X,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL07061565X,Appeton Essentials MV21 Caplet,MAL07061565X,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL07061568XCZ,Metacin Tablet 650mg,MAL07061568XCZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL07061569XCZ,METACIN TABLET 500MG,MAL07061569XCZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL07061572XZ,Enerlyte Oral Rehydration Salts (Natural),MAL07061572XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL07061578X,N-cobal 0.5mg film-coated tablet,MAL07061578X,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07061587X,Donna Forte Capsule 500mg,MAL07061587X,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL07081476AZ,Serenata Tablets 50mg,MAL07081476AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 INDIA
MAL07081523AZ,Actapin 5 mg Tablet,MAL07081523AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL07081524AZ,Actapin 10 mg Tablet,MAL07081524AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL07081548XZ,UPHAMOL TABLET 500 MG,MAL07081548XZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL07081598AZ,Ceretam Oral solution 20% w/v,MAL07081598AZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07081616AZ,Ceretam 800mg Film-Coated Tablet,MAL07081616AZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07081653X,Appeton Essentials Teengrow,MAL07081653X,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL07082844AZ,Keto Injection 30mg/ml,MAL07082844AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD.","TAICHUNG YOUTH FACTORY, NO. 27, KUNG CHIU RD., - TAIWAN"
MAL07082983XZ,Neurobine Film Coated Tablet,MAL07082983XZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL07082985X,Condropil capsule,MAL07082985X,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL07090903AZ,QUINTOR 500 Tablet,MAL07090903AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD.,INDRAD - 382721 DIST. MEHSANA INDIA
MAL07090926AZ,Omiflu Capsule 75mg,MAL07090926AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL07091040ACZ,Iomeron 350 Injection,MAL07091040ACZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PATHEON ITALIA S.P.A.,"2� TRAVERSA SX VIA MOROLENSE, 5-03013 FERENTINO (FROSINONE), ITALY"
