Russian,English
??? ??????,Iodine Vitrum
??????,Artrum
?????????,Nootropil
???????????-??????,Clopidogrel-Richter
???????,Sibazon
?????????,Oxytocin
????????,Anvistat
???????,Detromb
??????,Paxen
????????,Clopilet
???????,Zanocin
?????????,Flexital
???????-???,Sisodon-San
???????????,Sulperazon
??????,Tsifran
??????,Sebivo
???????,Anabrosis
?????????? ???,Anastrozole San
?????????,Betaferon
????????,Eleflox
?????? ?????,Formin Pliva
?????? ??????????,Sodium thiosulfate
??????,Wormin
?????????,Oritaxim
??????????? ???????,Prednisolone Nycomed
???????????,SimvaGexal
??????????,Brulamycin
?????????-????,Linezolid-Teva
?????????????-????,Levofloxacin-Teva
???????-?,Glucose-E
??????????-????,Vinorelbine-Teva
????-???????????,Vero-Ondansetron
?????? ?,Egilok S
?????? ??????,Egilok Retard
????????,COXERINE
?????????,Phenazepam
?????????-???,Omeprazole-FPO
??????????,Finasteride
??????????-OBL,Finasteride-OBL
??????????- OBL,Finasteride - OBL
?????????,Sumametsin
??????,Asakol
??????,Emeseth
??????,Forkan
????????-?????????,Atenolol-ratiopharm
???????,Betaver
?????????,Candibene
?????????? 1000,Metfogamma 1000
?????????? 850,Metfogamma 850
???????,Ulcozol
???????,Tarivid
?????????? ??????,Doxazosin Belupo
????????-????,Atenolol-Teva
????????,Glyclada
?????????,Perfalgan
??????????? ?????,Azithromycin Forte
??????????? ?????-OBL,Azithromycin Forte-OBL
?????????® ??,Diabepharm® MV
????-?????????,Vero-Amiodarone
????????? 10,Tetraspan 10
????????,Grastiva
????????,Ospamox
???????,Ascovit
??????? ?1,Vitamin B1
??????????,Topiromax
????????,Supresta
???????????,Primafungin
????????,Ceraxon
???????????? ??,Beclomethasone DS
????????,Recognan
????????,Proneuro
??????? ?????,Ceresil Canon
????????-????????,Encetron-SOLOpharm
??????,Noocil
??????????,Cycloferon
??????????,Neurocholine
???????????,Cycloplatin
?????????-? ?????,Mitomycin-S Kiova
????????,Trivorin
????????,Actastav
?????????,Grasalva
?????????,Platidiam
???????,Valcite
???????,Arvicin
????????????-??,Chlorhexidine-SF
?????????,Veraplex
??????????,Maxitopir
???????,Timazid
??????,Please
??????? ???????? ?????????????????,Calcium gluconate stabilized
"???????-4,5",Zenalb-4.5
????????,Seduxen
????????,Tramolin
????????,Timadren
"????? ????? ??????? ?????????????? ???????????, ?????????????, ????? ??????????????? 1, 3 ?????","BiVac Polio Oral Polio Vaccine, Bivalent, Live Attenuated, Types 1 and 3"
????????-????,Imatinib-Teva
?????????,Cilapenem
???????? -????,Imatinib-Teva
????????,Tolgecit
???????????-??????,Platyphylline-Ferein
???????,Brozaar
?????????,Infanrix
????????? ?????,Infanrix Hexa
"????????? ????? ??????? ??? ?????????. ????????,?????????,???????/??????????./, ????????????/?????????????./, ???????? ? ????????., ????????. ? ????????? ? ???????? ??? ?????????. ????????, ?????????? Haemophilus influenzae ???? b ????????., ????????.","Infanrix Hexa Vaccine for the prevention of diphtheria, tetanus, whooping cough (acellular), poliomyelitis (inactivated), hepatitis B combined, adsorbed in a set with a vaccine for the prevention of infection caused by Haemophilus influenzae type b conjugated, adsorbed."
"????????? ??????? ??? ???????????? ????????, ?????????, ??????? ???????????? ???????????????? ??????????????? ??????","Infanrix is ??a three-component, acellular, adsorbed liquid vaccine for the prevention of diphtheria, tetanus, and whooping cough."
"????????? ????? ??????? ??? ???????????? ????????, ?????????, ??????? ????????????, ???????????? ????????????????,???????? ? ???????????????, ??????????????? ? ????????? ? ???????? ??? ???????????? ????????, ?????????? Haemophilus influenzae ??? b ??","Infanrix Hexa Vaccine for the prevention of diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis, hepatitis B, combined, adsorbed in a set with a vaccine for the prevention of infection caused by Haemophilus influenzae type b co"
"????????? ????? ??????? ??? ???????????? ????????, ?????????, ??????? ????????????, ???????????? ????????????????, ???????? ? ???????????????, ??????????????? ? ????????? ? ???????? ??? ???????????? ????????, ?????????? Haemophilus influenzae ??? b ?","Infanrix Hexa Vaccine for the prevention of diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis, hepatitis B, combined, adsorbed in a set with a vaccine for the prevention of infection caused by Haemophilus influenzae type b"
"?????????? ??????? 10-????????? ?????????????? ??????????????, ??????????????? ? D-????????? ???????????? Haemophilus influenzae, ??????????? ? ??????????? ????????????, ???????????????","Synflorix 10-valent pneumococcal polysaccharide vaccine, conjugated with D-protein of non-typeable Haemophilus influenzae, tetanus and diphtheria toxoids, adsorbed"
"??????? ?????? ????, ????????, ???????? ????? ???????????????","Live attenuated measles, mumps, rubella vaccine"
????????????,Hydroxyurea
????????????,Convulsofin
?????????,Depredefault
????????,Hiberix
?????? ???????????,Medical ethanol
????? ????????,Ethyl alcohol
???????? ??-???,Perineva Ku-tab
?????????? ?????-??????,Irinotecan Pliva-Lachema
?????????? ??????,Leucovorin Lachema
??????????-????,Lisinopril-Krka
?????????-????,Enalapril-Teva
"??????? ? ??????? ?????? ???????? ?, ?????????????? ????????? ??????","Regevak B Hepatitis B vaccine, recombinant yeast liquid"
???????,Decaris
?????????,Episindan
???????,Zenhale
????????? ??,Augmentin SR
???????,Enafarm
?????,Envas
????????,Telektol
?????,BIKNU
???????????-????,Ceftriaxone-Vial
??????????-????,Cefotaxime-Vial
????????-????,Amikacin-Vial
???????-????,Cefepime-Vial
?????,Intal
??????? ???,Vikeyra Pak
????????,Speridan
????????,Viktoel
???????,Replica
????????? ??????,Cetirizine Hexal
????????? ??????,Cetirizine Sandoz
????????? ??????? ??? ???????????? ???????????? ????????????????,Poliorix Inactivated polio vaccine
????????,Ridonex
?????????,Poliorix
??????????? ???????,Salicylic acid
??????????-??????,Pregabalin-Richter
??????? ?,Hemophilus M
????????-??????,Asparkam-Ferein
??????????-????,Vinblastine-Teva
????????,Maniglid
????????,Temcital
?????????,Amovikomb
????????,Milanfort
????????,Sinqueiro
??????,Zantac
????????,Fungizone
???????? ????,Flavamed Max
???????????-??? 4,Zolendronic-Rus 4
???????????-???4,Zolendronic-Rus4
??????????? ??,Resoclastin FS
???????????,Resoclastin
????????,Zolerix
???????,Resorb
????????,Targetsol
??????,Zolera
???????????? ???????,Zoledronic acid
?????????,Zoledrex
??????????-????,Zoledronate-Teva
??????,Zometa
????????,Tarlenib
????????,Pregabio
??????????-?????,Bisoprolol-Lugal
?????????,Phosphogliv
????????,Begrivak
?-??-?????????,N-AC-ratiopharm
???????????,Intraglobin
???????,Bagomet
????? ??????????,Tafen Novolizer
????????????????,Benzylpenicillin
????????????? ?????,Levofloxacin Stada
?????????? ???????,Ofloxacin Protekh
?????????? ??????,Ofloxacin Sandoz
?????????,Oncodocel
????????????-????,Metronidazole-Teva
?????????,Cromolyn
???????,Sumazid
????????? ???????,Albumin solution
???????????? ??????? ????? 0.05 ?,Ascorbic acid dragees 0.05 g
?????????????? ????,Benzyl benzoate ointment
?????????????? ???????????? ????,Benzyl benzoate medical ointment
???????????? ??????????? ??? ???????? 0.005 ?,Bleomycetin hydrochloride for injection 0.005 g
?????????? ???????????? ???????? ???????? ?????????,Verapamil hydrochloride film-coated tablets
??????????? ???????????? ???????? 0.04 ?,Drotaverine hydrochloride tablets 0.04 g
???????? ???????? ???????,Hydrogen peroxide solution
??????????????-???????,Pentoxifylline-Darnitsa
?????????? ???????? ???????? ????????? 0.15 ?,Ranitidine film-coated tablets 0.15 g
???????? ??????? ??????? ? ?????,Retinol acetate solution in oil
???????????? ????????,Prednisolone tablets
??????????? ????,Salicylic ointment
??????????? ??????? ??????? ?????????,Salicylic acid alcohol solution
????????????? ???????? 0.25 ?,Metronidazole tablets 0.25 g
??????? ????????? ???????? 0.5 ?,Calcium gluconate tablets 0.5 g
???????? ????? 95%,Ethyl alcohol 95%
??????????? ??????????????? ???????,Medical antiseptic solution
??????????,Carvetrend
????????? ???????,Octreotide Fsintez
??????,Senorm
????????? ?????,Phosphogliv Forte
?????????,Rocepherin
????????? ??????,Captopril Sandoz
??????????-????,Carvedilol-Teva
???????,Crybaby
?????,Ashlev
?????????,Algerica
??????,Escape
???????????????-?????,Calciumfolinate-Ebewe
??????,Omefez
?????????-????,Gliclazide-AKOS
??????????,Acenoveriz
??????????,Fortoferin
?????????? ???????? ???????? ????????? 0.2 ?,Piracetam film-coated tablets 0.2 g
????????,OptiMARK
??????????,Allergorus
?????? ?????????? ???-?,BIOLEK Tuberculin PPD-L
????????????,Beclomethasone
????????,Maxipim
????????,Akriderm
?????? ??????,Risset Quitab
?????? ?,Intron A
???????? ??????,Atenolol Belupo
??????,Ecoral
????????????-????,Amitriptyline-AKOS
??????,Torvas
????????????-???????,ATORVASTATIN-NANOLEK
???????????,Proxodolol
?????????? ??????-???????,Metoprolol retard-Akrikhin
??????????????????????,Phenoxymethylpenicillin
???????,Metozok
?????????,Bronchorus
???????????,Tetracycline
????????,Norvadin
??????,Fluzol
????????,Ambrolor
?????,Zodak
?????????,Alcenorm
?????????,Contrycal
???????? ???????????,Asmanex Twisthaler
????????? ????????,Indapamide Alkaloid
???????,Soliris
??????????,Cetirinax
??????,Prodep
??????????-????,Fludarabine-Teva
?????????-????,Metformin-Teva
?????????? ????????,Bupivacaine Grindeks
?????????? ???????? ??????,Bupivacaine Grindeks Spinal
?????????,Noogeron
?????????,GREENTEROL
?????????,Actaviron
?????????-???????,Cetirizine-Akrikhin
????????,Allertek
???????,Memicar
??????,Alzeim
????????,Ondantor
?????????????,Acetylcysteine
???????,Elsetor
?????????????? ???????? ???????????????????,Human antistaphylococcal immunoglobulin
???????????,Allopurinol
???????,Nozepam
?????????? ????????,Metoprolol Organics
?????????? ????????,Risperidone Organics
??????????,Nitrazepam
??????????????? ????????,Trihexyphenidyl Organica
????????,Trizivir
??????????-???????,Betagistin-Akrikhin
??????? 100,Infezol 100
???????????? ?????,Asparaginase medac
????? ? ?????? ??????????? ??????-????,Potassium and magnesium aspartate Berlin-Chemie
??????? 40,Infezol 40
????????,Vasoserk
???????? ??? 10%,Refortan GEK 10%
???????? ??? 6%,Refortan GEK 6%
???????? ??? 6%,Stabizol HEC 6%
????????? ?????,Famotidine STADA
?????????,Famotidine
???????????-??????,Clopidogrel-LEKSVM
????????,Cardutol
???????? ???????? ???????? ????????? 0.025 ?,Ortofen film-coated tablets 0.025 g
??????? ????????,Fenuls Complex
????? ???,BIDOP KOR
??????????,Acyclostad
??????????,Realdiron
?????????-??????,Acyclovir-Ferein
??????????,Escotropil
??????,FerMed
??????????,Bisoprolol
???????,Irenax
???????????-??????????,Simvastatin-Chaikapharma
????????????-????,Carbamazepine-ALSI
????????,Ecocifol
????????,Azitrox
???????? ?????????,Retinol palmitate
????????? ??? ?????,Maxikold for children
?????????? ???,Cefotaxime Lek
??????????? ???????,Paracetamol for children
??-???????????,Co-trimoxazole
????????,Renipril
??????????,Nitrospray
???????????,Lornoxicam
?????????,Immugrast
????-???????,Vero-Epoetin
????????-????,Etoposide-LENS
????-??????????,Vero-Fludarabine
???????,Spasmol
?????????,Clarisens
??????,Iriten
???????,Exorum
???????????-????,Paclitaxel-LENS
????-????????????,Vero-Asparaginase
????????,Mavericks
????????????-????,Doxorubicin-LENS
????????????-????,Daunorubicin-LENS
??????????,Gemcitover
?????,Bidop
?????????,Flucostat
????????,Rhinostop
???????,Croiron
???????????-????,Carboplatin-LENS
?????????-????,Cisplatin-LENS
????-?????????,Vero-Bleomycin
??????????-????,Vinblastine-LENS
??????????-????,Dacarbazine-LENS
??????????-????,Leucovorin-LENS
???????????-???? ?????????????????,Cyclophosphamide-LENS fast-dissolving
?????????-????,Cytarabine-LENS
??????????-????,Fluorouracil-LENS
????-?????????,Vero-Mitomycin
???????????-????,Ondansetron-LENS
??????????,Neosmectin
?????????-??????,Ambroxol-Richter
?????????-???????,Octreotide-Actavis
????????? -???????,Octreotide-Actavis
??????,Kispar
???????,Klabax
????????,Romiklar
??????,Toreal
??????,Rastan
???????? ?,Biosulin R
???????? ?,Biosulin N
?????????-?????,Budesonide-native
??????? ?,Regevak V
?????????,Trazograph
???????,Cysotere
???????????-?????????,Salbutamol-aeronativ
??????????,FLUOROURACIL
??????????,Epirubicin
????????????,Doxorubicin
??????????,Vinorelbine
????????? ?? ????????????,Gliclazide MV Pharmstandard
??????????,Idarubicin
????????????,MITOXANTRONE
???????????,Paclitaxel
?????????,Neipomax
????????,Formetin
????????,Ketalgin
???????,Synagis
??????????,Efferalgan
????????-??-??????,Reaferon-ES-Lipint
?????,Glevo
????????,Westicap
??????????,Tamoxifen
????????-??,Reaferon-ES
??????-?6,Candid-B6
????????? 10,Berlipril 10
????????? 20,Berlipril 20
????????? 5,Berlipril 5
?????? 850,Siofor 850
?????? 500,Siofor 500
??????????,Meronoxol
??? 400,MIG 400
L-???????? 100 ?????? ????,L-Thyroxine 100 Berlin-Chemie
L-???????? 125 ??????-????,L-Thyroxine 125 Berlin-Chemie
L-???????? 150 ??????-????,L-Thyroxine 150 Berlin-Chemie
L-???????? 50 ??????-????,L-Thyroxine 50 Berlin-Chemie
L-???????? 75 ??????-????,L-Thyroxine 75 Berlin-Chemie
????????? 100,Iodomarin 100
????????? 200,Iodomarin 200
?????? 1000,Siofor 1000
????????,Penemera
?????? ?,Heptor H
??????? 10000,Pangrol 10000
??????? 25000,Pangrol 25000
????????,Flavamed
?????????,Allapinin
????????,Imatinib
?????????,Tanflomed
???????,Emetron
?????-?,Gonal-F
???????????,Cyclophosphamide
???????,Plavix
?????? ??????,Tramadol retard
?????????-????,Furosemide-Vial
??????????????-????,Cyanocobalamin Vial
?????????? ???????????-????,Adrenaline hydrochloride-Vial
???????????-?????????,Haloperidol-ratiopharm
??????? ????????-????,Calcium Gluconate Vial
???????,Nurofen
??????,Elidel
??????? 60 ?,Kalimin 60 H
????????,Cuprenil
?????,Otofa
????????-????,Lidocaine Vial
???????,Cerucal
??????? ??????,Marcain Spinal
??????? ?????? ????,Marcain Spinal Heavy
??????,Imovan
?????????,Plaquenil
???????? 40,Copaxone 40
???????,Optirey
???????,Vialfer
?????????? ?????,Tacrolimus STADA
?????????-????,Olanzapine-Vial
?????? ????????,Toujeo SoloStar
??????? ????????,Nurofen Express
????????,Leukeran
???????? ????,Glucophage Long
?????????+?????????-????,Zidovudine+Lamivudine-Vial
?????????-??????,Ribavirin-LIPINT
????????-????,Copaxone-Teva
????????,Vesanoid
????,Stag
??????-?????,Dapsone-Fatol
????????®-????,Copaxone®-Teva
?????????,Maltofer
???????,Millerand
????-?????,Puri-Netol
?????????,Terizidone
?????????,Serdolect
???????? ?????,Lomustine Medak
??????,Flagyl
???????,Mirolyut
?????,Arava
?????????,Vaxigrip
???????????,Budenofalk
?????????,Navelbine
??-???,No-shpa
????????,Combitube
??????????,Galantamine
?????????,Ursofalk
???????,Mircera
????????,Revlimid
??????? ??,Truck Clear DT
????????? ????????,Somatuline Autogel
????????,Plegridy
????????,Lixumia
??????????,Grippferon
???????,Opsumite
????????,Fabrazyme
????????????,Neovasculgen
??????????,Aldurazyme
???????? ????????,Rayzodeg FlexTouch
????????,Paklikal
??????? ???????? ?????,Nurofen Express Forte
?????????,Glutoxim
????????? ????????,NovoRapid FlexPen
???????? 30 ????????,NovoMix 30 FlexPen
?????????,Convulex
??????? ????????????? ??? ??????? ????????? ??????????? ???-?,Tuberculosis vaccine for gentle primary immunization BCG-M
??????? ????????????? ???,BCG tuberculosis vaccine
????????,Kurosurf
??????-??? ??????? ??? ??? ????????????? ???? ???????? ??????,Imuron-vac BCG vaccine for bladder cancer immunotherapy
?????? ??,Campto CS
?????? ?????,Lokoid crelo
??????,Lokoid
???????,Ingaron
?????????,Pimafucin
????????,Prepidil
??????,Relium
?????????? ??????????,Pulmicort turbuhaler
??????,Campto
??????,Medrol
???????,Lorafen
???????,Tazepam
????????-??????,Propofol-Lipuro
????????????? ?15,Aminoplasmal E15
?????????? 40/80,Nutriflex 40/80
?????????? 48/150,Nutriflex 48/150
?????????? 70/240,Nutriflex 70/240
?????????? 70/180 ?????,Nutriflex 70/180 lipid
???????-?????? ?????,Heparin sodium Braun
?????????,Gelofusine
?????????? ???/??? 20%,Lipofundin MCT/LST 20%
???????? 20,Lipoplus 20
????????,Protopic
????????,Kotellik
????? ?????? ?.?????,Potassium chloride B. Brown
??????,Viread
??????????? ?????????????,Sterofundin isotonic
???????,Tamiflu
???????,Betaloc
???????,Bactrim
??????????,Ketosteril
???????,Cymeven
??????????-?????,Epirubicin-Ebeve
?????????,SinnoVex
?????????,Diphereline
??????,Zyrtec
???????,Minirin
???????,Floxal
????????,Sonapax
?????,Pabal
?????????,Pentaxim
????????,Baraclude
?????????,Tractocyl
??????,Elonva
??????? ????????,Levemir FlexPen
??????,Norvir
??????? ????????,Arbidol Maximum
???????,Arbidol
????????? ??????????,Symbicort Turbuhaler
??????,Paxil
???????,Zeffix
??????,Epivir
?????????,Sivextro
??????,Gemzar
?????,Pedea
????????? ??,Augmentin EC
???????,Pentasa
?????? ??,Brufen SR
???????,Sovriad
????????,Eviplera
????????,Brilinta
???????,Truck Clearer
????????,Xeplion
???????,Reminyl
????????,Prezista
???????,Velcade
????????,Retrovir
???????,Tivicai
???????,Seretid
?????? ????,Lucrin Depot
????? ????,Losek MAPS
??????? - ???????,Nosolin - balm
????????? ??????,Sandimmune Neoral
??????,Keliks
?????? ?,Hemate P
????????,Xefocam
??????????? ??????????????,SMOFKabiven peripheral
????????? ??????,Rispolept Konsta
????????,Volulight
????????????? ?????,Artificial tears
???? ???????? ?.?.,Uman Complex D.I.
????? ??????????,Oxis Turbuhaler
???????,Forlax
???????,Exelon
?????????,Trileptal
?????????,Voltaren
??????????????,Diclofenaclong
???????,Actemra
????????? ????????,Oxytocin Grindeks
???????????,Vasaprostan
????????,Zovirax
???????????®,Vasaprostan®
???????????,Diaskintest
??????,Botox
??????? ???? 25,Humalog Mix 25
???????? ?????,Zyprexa Zidis
??????? ??,Zanocin OD
??????,Smecta
??????,Lyrics
????????,Cellcept
