MAL20013182X,Shine Multivitamin and Mineral Capsule,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20013445AZ,SHRIZINE INJECTION 25MG/ML,SM PHARMACEUTICALS SDN. BHD.
MAL20013446AZ,FLUROCORT INJECTION 40MG/ML,SM PHARMACEUTICALS SDN. BHD.
MAL20013450AZ,DEXIN INJECTION 2ML,SM PHARMACEUTICALS SDN. BHD.
MAL20013455AZ,SII Diphtheria and Tetanus Vaccine Adsorbed (Pediatric)-10 doses,SM PHARMACEUTICALS SDN. BHD.
MAL20013492XRZ,VITAMIN C-500 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013499XZ,APPETON A TO Z KID'S VITAMIN C 30MG TABLET (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL20013500XZ,APPETON ESSENTIALS ACTIV - C 250 (BLACKCURRANT),KOTRA PHARMA (M) SDN. BHD.
MAL20013576AZ,UROSIN FILM COATED TABLET 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20013759XC,KORDEL`S E 400 IU CAPSULES,CAMBERT(M) SDN. BHD.
MAL20013770AZ,AXCEL MEFENAMIC ACID SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL20013823XRZ,21st Century Acid Free C 500mg Tablet,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013824XRZ,21ST CENTURY ACID FREE C 1000MG TABLET,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013984AZ,SII MEASLES VACCINE LIVE ATTENUATED (FREEZE- DRIED)-10 DOSES,SM PHARMACEUTICALS SDN. BHD.
MAL20013996ACZ,MESPORIN-1000 I.V. VIALS,MEPHARM (MALAYSIA) SDN. BHD.
MAL20014012AZ,AXCEL CEFACLOR-125 SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL20014201AZ,SII DIPHTHERIA & TETANUS VACCINE ADSORBED (PEDIATRIC) 20 DOSE,SM PHARMACEUTICALS SDN. BHD.
MAL20014203AZ,MOXICLAV 625MG TABLET,KOMEDIC SDN BHD
MAL20014216AZ,AXCEL CEPHALEXIN-250 CAPSULE,KOTRA PHARMA (M) SDN. BHD.
MAL20014217AZ,AXCEL CEPHALEXIN-500 CAPSULE,KOTRA PHARMA (M) SDN. BHD.
MAL20014218AZ,VAXCEL CEFTRIAXONE-500MG INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL20014220AZ,VAXCEL CEFTRIAXONE-1G INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL20014229XZ,CHAMPS D-WORMS SUSPENSION 200MG/5ML,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20014236XZ,SM CALAMINE LOTION,SM PHARMACEUTICALS SDN. BHD.
MAL20014319AZ,CAVUMOX SYRUP,SPG PHARMA (MALAYSIA) SDN BHD
MAL20014320AZ,CEF-4 1G INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL20014321AZ,CEF-4 500MG INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL20014330ACZ,AMIOHEXAL 200,IMEKS PHARMA SDN. BHD.
MAL20014331AZ,TIODIN TABLET 250MG,IMEKS PHARMA SDN. BHD.
MAL20014348AZ,RALSIN TABLET 5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014349AZ,RALSIN TABLET 2MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014355AZ,INFUSOL D30,AIN MEDICARE SDN. BHD.
MAL20014356AZ,INFUSOL D40,AIN MEDICARE SDN. BHD.
MAL20014357AZ,INFUSOL D50,AIN MEDICARE SDN. BHD.
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL20014360AZ,INFUSOL QSD10,AIN MEDICARE SDN. BHD.
MAL20014361AZ,INFUSOL HSD10,AIN MEDICARE SDN. BHD.
MAL20014363XZ,PORO SUPPOSITORY 250MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014391X,AXE BRAND INHALER,Leung Kai Fook Medical Sdn. Bhd.
MAL20014492AZ,CEF-3 INJECTION IV (250MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014493AZ,CEF-3 INJECTION IV (500MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014494AZ,CEF-3 INJECTION 1V (1G),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014495AZ,CEF-3 INJECTION IM (250MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014496AZ,CEF-3 INJECTION IM (500MG),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014497AZ,CEF-3 INJECTION IM (1G),SPG PHARMA (MALAYSIA) SDN BHD
MAL20014525AZ,CEFATUM INJECTION 1G,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20014564XZ,Shine Vitamin C-100 Chewable Tablet Grape Flavour,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20016142AZ,Ceretam 1200 mg Film-Coated Tablet,AV MANUFACTURING SDN.BHD
MAL20016143AZ,Gemita RTU 38mg/ml Injection,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20016152XC,Geliga Balm Cap Kris,SYARIKAT MYP SDN. BHD.
MAL20016165NC,JANIPRO Prebiotic & Probiotics LABISA Capsule,Janipro (M) Sdn Bhd
MAL20020023AZ,AXCEL CEPHALEXIN-125 SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL20020025AZ,Betamox 250mg Tablet,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20020152AZ,VAXCEL CEFTAZIDIME-1G INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL20020154AZ,AXCEL ERYTHROMYCIN ES TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20020156AZ,VAXCEL CEFUROXIME-750MG INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL20020256AZ,OFCIN FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020257AZ,OFCIN FILM COATED TABLET 400MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020262AZ,ALLAVIN EXPECTORANT,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20020268AZ,Ibuspan Tablet 400mg,SM PHARMACEUTICALS SDN. BHD.
MAL20020484AZ,MOLAX-M FILM COATED TABLET,SPG PHARMA (MALAYSIA) SDN BHD
MAL20020722X,OK Orang Kampung Minyak Hijau,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20020811AZ,AXCEL PROMETHAZINE-5 SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL20020819AZ,DOMIDIN LOZENGES 0.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020883AZ,LORATEN SYRUP 5MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL20020884AZ,RASITOL TABLET 40MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020899ARZ,N/A,N/A
MAL20021012AZ,LORADINE SYRUP 1MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20021013AZ,LORADINE TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20021017X,AVM-Artrisa 250mg Capsule,AV MANUFACTURING SDN.BHD
MAL20021133AZ,AXCEL NASATAB TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20021143AZ,FUNGI-STAT CREAM,SM PHARMACEUTICALS SDN. BHD.
MAL20021157AZ,AXCEL FLEMIN JUNIOR EXPECTORANT,KOTRA PHARMA (M) SDN. BHD.
MAL20021159AZ,URIPAX FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20021163AZ,ATEHEXAL 25,IMEKS PHARMA SDN. BHD.
MAL20021164AZ,ATEHEXAL 50,IMEKS PHARMA SDN. BHD.
MAL20021165AZ,ATEHEXAL 100,IMEKS PHARMA SDN. BHD.
MAL20021173AZ,MOTIDOM TABLET,IMEKS PHARMA SDN. BHD.
MAL20021183X,OK ORANG KAMPUNG MINYAK PALA PLUS,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20021367AZ,FROTIN FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20021379AZ,SILVERDERM CREAM,IMEKS PHARMA SDN. BHD.
MAL20021410AZ,AXCEL FUSIDIC ACID OINTMENT,KOTRA PHARMA (M) SDN. BHD.
MAL20021411AZ,MEDOSTATIN 40MG TABLET,KOMEDIC SDN BHD
MAL20021414AZ,Zycort Injection 100mg,SM PHARMACEUTICALS SDN. BHD.
MAL20021421AZ,AXCEL LORATADINE SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL20021425X,Cartril-S 250mg Capsule,Duopharma Marketing Sdn. Bhd.
MAL20021439X,OK Orang Kampung Minyak Serai Plus,PERNIAGAAN ORANG KAMPUNG SDN. BHD.
MAL20026010NC,JANIPRO SAMUCIL G Powder,Janipro (M) Sdn Bhd
MAL20026015NC,JANIPRO SAMUCIL Capsule,Janipro (M) Sdn Bhd
MAL20026044ARZ,Rexulti 1mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL20026045ARZ,Rexulti 2mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL20026046ARZ,Rexulti 3mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL20026047ARZ,Rexulti 4mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL20026061AZ,Arite Beclometasone 100mcg/actuation Metered Dose Inhaler,KOTRA PHARMA (M) SDN. BHD.
MAL20026065AZ,Norphenadol Tablet,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20026073AZ,INFUSOL K+0.3 NS (Potassium Chloride 0.3% w/v and Sodium Chloride 0.9% w/v Intravenous Infusion BP),AIN MEDICARE SDN. BHD.
MAL20026079X,Urobase Sachet 4g for Oral Solution,AV MANUFACTURING SDN.BHD
MAL20031731AZ,OLFEN-75 SR/RETARD DEPOTABS,MEPHARM (MALAYSIA) SDN. BHD.
MAL20031755ARZ,Leucovorin Kabi Injection USP 10MG/ML,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20031761ARZ,VOLUVEN 6% (FREEFLEX WITH OVERWRAP),FRESENIUS KABI MALAYSIA SDN. BHD
MAL20031763ACZ,BONKY INJECTION,BIO-PHARMACEUTICALS SDN. BHD.
MAL20031763X,N/A,N/A
MAL20031764X,BONKY SOFT CAPSULE,BIO-PHARMACEUTICALS SDN. BHD.
MAL20031769X,APPETON ESSENTIALS NATAL CARE,KOTRA PHARMA (M) SDN. BHD.
MAL20031914AZ,ASOLAN TABLET 0.5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20031927AZ,AXCEL LORATADINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20031943AZ,Tuberculin PPD RT 23 AJV,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL20032177XZ,APPETON ACTIV-C (BLACKCURRANT) TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20032244AZ,CIPQUIN 500 TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL20032250AZ,TYSTATIN ORAL SUSPENSION,IMEKS PHARMA SDN. BHD.
MAL20032263AZ,AXCEL METRONIDAZOLE-200 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL20032393XZ,GNC Vitamin B-6 100 mg Tablet,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL20032425AZ,MELOX 7.5MG TABLETS,KOMEDIC SDN BHD
MAL20032426AZ,MELOX 15MG TABLETS,KOMEDIC SDN BHD
MAL20032432AZ,CAVUMOX (625MG TABLETS),SPG PHARMA (MALAYSIA) SDN BHD
MAL20033486AZ,KNOWFUL FILM COATED TABLET 800MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20033496AZ,OLFEN-50,MEPHARM (MALAYSIA) SDN. BHD.
MAL20033520XZ,Paracil Tablet 650mg,SM PHARMACEUTICALS SDN. BHD.
MAL20033528X,SHINE JUNIOR MULTIVITAMIN CHEWABLE TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20033536XR,SPECTRUM MULTIVITAMINS & MINERALS TABLET,21ST CENTURY PRODUCTS SDN. BHD.
MAL20033665AZ,SIFACLOR (ORAL SUSPENSION) 125 MG/5 ML,SPG PHARMA (MALAYSIA) SDN BHD
MAL20033666AZ,SIFACLOR (ORAL SUSPENSION) 250 MG/5 ML,SPG PHARMA (MALAYSIA) SDN BHD
MAL20033669AZ,URISPAS 200 TABLET,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20033679ARZ,Azclear Action Medicated Lotion,EGO PHARM MALAYSIA SDN. BHD.
MAL20033694XRZ,VITAMIN C 500MG ORANGE CHEWABLE,21ST CENTURY PRODUCTS SDN. BHD.
MAL20033973AZ,CLARITROX 250 TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL20034002XRZ,VITAMIN C 1000MG ORANGE CHEWABLE,21ST CENTURY PRODUCTS SDN. BHD.
MAL20034003XRZ,VITAMIN C 250MG ORANGE CHEWABLE,21ST CENTURY PRODUCTS SDN. BHD.
MAL20034184AZ,MEFCID TABLET 500MG,SM PHARMACEUTICALS SDN. BHD.
MAL20034217AZ,CETRIZIN TABLET 10MG,IMEKS PHARMA SDN. BHD.
MAL20034371XC,KORDEL`S EXECUTIVE B TABLET,CAMBERT(M) SDN. BHD.
MAL20034390XC,KORDEL`S C TIME ACID FREE C 1000MG TABLET,CAMBERT(M) SDN. BHD.
MAL20034447AZ,LANOLONE TABLET,IMEKS PHARMA SDN. BHD.
MAL20034563XZ,'MPI' PYRIDOXINE TABLETS 10MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20034570XZ,Flavettes Vitamin C Orange 500mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL20034609AZ,CLARITROX 500 TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL20034631ACZ,BACTIFLOX-500 LACTAB,MEPHARM (MALAYSIA) SDN. BHD.
MAL20034634AZ,CIPROCEP TABLET 250 MG,IMEKS PHARMA SDN. BHD.
MAL20034653AZ,LAMOTRIX 100MG TABLET,KOMEDIC SDN BHD
MAL20034662ACZ,"MIDAZOLAM-HAMELN 1MG/ML INJECTION,5ML",IMEKS PHARMA SDN. BHD.
MAL20034664ACZ,"MIDAZOLAM-HAMELN 5MG/ML INJECTION,1ML",IMEKS PHARMA SDN. BHD.
MAL20034830X,MUCIL 100,IMEKS PHARMA SDN. BHD.
MAL20034832X,MUCIL 200,IMEKS PHARMA SDN. BHD.
MAL20036016NC,JANIPRO VC2 Capsule,Janipro (M) Sdn Bhd
MAL20040058AZ,KETOBID SHAMPOO,SM PHARMACEUTICALS SDN. BHD.
MAL20040092AZ,FUKOLE CAPSULE 150MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040171XRZ,NEURORUBINE-FORTE FILM-COATED TABLETS,MEPHARM (MALAYSIA) SDN. BHD.
MAL20040192AZ,TRACTOCILE 7.5MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION,Ferring Sdn. Bhd.
MAL20040205AZ,ANPRO-LORATADINE TABLET 10MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20040209AZ,METGYL TABLET 400MG,SM PHARMACEUTICALS SDN. BHD.
MAL20040211AZ,URTIRIZINE TABLETS 10MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20040212AZ,URTIRIZINE SYRUP 5MG/5ML,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20040230AZ,ELTHROCIN TABLET 500MG,SM PHARMACEUTICALS SDN. BHD.
MAL20040247XZ,DHACTULOSE SYRUP,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20040565AZ,MEDOPRAZOLE CAPSULE 20MG,KOMEDIC SDN BHD
MAL20040570AZ,ENCARDIL TABLET 10MG,SM PHARMACEUTICALS SDN. BHD.
MAL20040625AZ,XETEC TABLET 10MG,SM PHARMACEUTICALS SDN. BHD.
MAL20040626AZ,XETEC ORAL SOLUTION 5MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL20040802AZ,LIPOTHIN 200MG CAPSULE,IMEKS PHARMA SDN. BHD.
MAL20040803ACZ,"MORPHINE-HAMELN 10MG/ML INJECTION,1ML",IMEKS PHARMA SDN. BHD.
MAL20040810AZ,OMELON ENTERIC MICROENCAPSULATED CAPSULE 20MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040821AZ,AXCEL OXYMETAZOLINE 0.025% NASAL DROPS,KOTRA PHARMA (M) SDN. BHD.
MAL20040824X,DERMAFIN CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040832AZ,ERYCIN FILM COATED TABLET 250MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040892AZ,AXCEL CETIRIZINE TABLET 10MG,KOTRA PHARMA (M) SDN. BHD.
MAL20040893AZ,AXCEL CETIRIZINE SYRUP 5MG/5ML,KOTRA PHARMA (M) SDN. BHD.
MAL20040925ACZ,ANTAROL TABLET 20MG,IMEKS PHARMA SDN. BHD.
MAL20040950AZ,GLUCOMET TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20040963AZ,DURATOCIN RTS 100mcg/ml,Ferring Sdn. Bhd.
MAL20041001AZ,B-MYCIN CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20041064X,SHINE GLUCOSAMINE CAPSULE,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20041071AZ,INZOLAM 0.25MG TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20041160AZ,LEXAPRO 10 MG TABLET,Lundbeck Malaysia Sdn. Bhd.
MAL20041162AZ,LEXAPRO 20 MG TABLET,Lundbeck Malaysia Sdn. Bhd.
MAL20041207AZ,NISOL INJECTION (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL20041268AZ,N/A,N/A
MAL20041269AZ,N/A,N/A
MAL20046096ACZ,REKOVELLE 36 mcg/1.08 mL solution for injection in pre-filled pen,Ferring Sdn. Bhd.
MAL20046097ACZ,REKOVELLE 72 mcg/2.16 mL solution for injection in pre-filled pen,Ferring Sdn. Bhd.
MAL20046103ACRZ,Cebrotonin 800mg film-coated tablets,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20046110AZ,Axcel Azithromycin-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL20046120AZ,Crystorvas Tablet 40mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20046121AZ,Crystorvas Tablet 20mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20046124ACZ,Vignocaine 2% w/v Viscous Solution,PHARM-D SDN. BHD.
MAL20046133X,Alsoft A Hand Disinfectant 0.2% w/v,Goodmaid Chemicals Corp. Sdn. Bhd.
MAL20046137X,Three Legs Septyc-Kare Antiseptic Spray 1%w/v,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL20051326AZ,CARDIAMED INJECTION 1MG/1ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20051348AZ,PENATONE INJECTION 4MG/ML (2ML AMPOULE),DUOPHARMA (M) SENDIRIAN BERHAD
MAL20051379AZ,DHASEDYL DM SYRUP,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20051411AZ,UNIHEPA 5000IU/ML INJECTION (5ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL20051466AZ,ENAPRIL TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20051467AZ,ENAPRIL TABLET 20MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20061488ACRZ,EBIXA FILM-COATEDTABLET 10MG,Lundbeck Malaysia Sdn. Bhd.
MAL20061550AZ,BACTRICIN OINTMENT 2%W/W,SM PHARMACEUTICALS SDN. BHD.
MAL20061563AZ,SALIPAX CAPSULE,MEPHARM (MALAYSIA) SDN. BHD.
MAL20066102TC,"Janipro TLC Tiger Milk Mushroom, Lingzhi with Cordyceps Capsule 520mg",Janipro (M) Sdn Bhd
MAL20066138TC,Janipro Anthromax Andrographis Plus Elderberry Capsule,Janipro (M) Sdn Bhd
MAL20071704AZ,LOTEMAX STERILE OPHTHALMIC SUSPENSION,Bausch & Lomb (Malaysia) Sdn. Bhd.
MAL20071712AZ,ASADIN INJECTION 1.0MG/ML,PHARM-D SDN. BHD.
MAL20076002AZ,SII PNEUMOSIL Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed) (10-Valent) SUSPENSION FOR INJECTION (SINGLE DOSE - 1 DOSE),PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL20076014ARZ,ERDOMED® Hard Capsules 300mg,HYPHENS PHARMA SDN. BHD.
MAL20076021AZ,Vytocor 10mg/40mg Tablet,Duopharma Marketing Sdn. Bhd.
MAL20076022ACZ,TELSTRAN PLUS Tablet 40mg + 12.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20076023ACZ,TELSTRAN PLUS Tablet 80mg + 12.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20076028ACZ,Uphalexin Granules 125mg/5ml,Duopharma Marketing Sdn. Bhd.
MAL20076029ACZ,Uphalexin Capsule 250mg,Duopharma Marketing Sdn. Bhd.
MAL20076030ACZ,Uphalexin Capsule 500mg,Duopharma Marketing Sdn. Bhd.
MAL20076034ACZ,Vobrax Capsules 200mg,Asumed Biotech Sdn. Bhd.
MAL20076049ASZ,MEDAXONUM 1G POWDER FOR SOLUTION FOR INJECTION/INFUSION,KOMEDIC SDN BHD
MAL20076054XC,Lyzodase Oral Liquid,Vismedic Sdn. Bhd.
MAL20086021X,Rohto Eye Wash (Distilled Witch Hazel 13%v/v),ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL20091870AZ,SII Hepatitis-B Vaccine (rDNA)(Pediatric)-Single Dose 0.5ml,SM PHARMACEUTICALS SDN. BHD.
MAL20091871AZ,SII Hepatitis-B Vaccine (rDNA)(Adult)-Single Dose 1ml,SM PHARMACEUTICALS SDN. BHD.
MAL20096007AZ,CIFLOXIN INFUSION (2 MG/ML) (SOLUTION FOR INFUSION),SPG PHARMA (MALAYSIA) SDN BHD
MAL20096012AZ,Rosuvor Film Coated Tablet 20mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20102065AZ,DOMIDE CAPSULE 50MG,PHARM-D SDN. BHD.
MAL20106004AZ,MAPENEM (500 MG INJECTION)(POWDER FOR SOLUTION FOR INJECTION OR INFUSION),SPG PHARMA (MALAYSIA) SDN BHD
MAL20106005AZ,MAPENEM (1 G INJECTION)(POWDER FOR SOLUTION FOR INJECTION OR INFUSION),SPG PHARMA (MALAYSIA) SDN BHD
MAL20106010AZ,Axcel Clopidogrel-75mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL20106013XZ,Biowell Zeero Chewable Tablet 200mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20106063NC,JANIPRO BIO DVP Saccharomyces boulardii + Vitamin C with Zinc Plus Powder,Janipro (M) Sdn Bhd
MAL20112133XC,Avance JOINT COMFORT TABLET,BEST WORLD LIFESTYLE SDN. BHD.
MAL20112144ACZ,Furosemide-hameln 10mg/ml Injection,IMEKS PHARMA SDN. BHD.
MAL20116002ACRZ,Nocdurna Oral Lyophilisate for Sublingual 25 mcg,Ferring Sdn. Bhd.
MAL20116003ACRZ,Nocdurna Oral Lyophilisate for Sublingual 50 mcg,Ferring Sdn. Bhd.
MAL20116017AZ,Latanost Eye Drops 0.005%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20116018AZ,Latacom (Latanoprost 0.005% + Timolol 0.5%) Eye Drops,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20116019AZ,Hebecavir Film Coated Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20126009AZ,Pharmaniaga Suxamethonium Chloride 100mg/2ml Solution for Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL20126015AZ,CARIDINE SYRUP 0.5mg/ml,Duopharma Marketing Sdn. Bhd.
MAL20126016AZ,ONDRIN INJECTION 4MG/2ML,SM PHARMACEUTICALS SDN. BHD.
MAL20126017ACZ,Levocet syrup 0.5mg/ml,Asumed Biotech Sdn. Bhd.
MAL20126126AZ,Hanlim Vasopressin Injection 20 IU/mL,IMEKS PHARMA SDN. BHD.
MAL20132309AZ,CLOMETRO 7HP,SM PHARMACEUTICALS SDN. BHD.
MAL20172991XZ,PORO SUSPENSION 250mg/5ml (ORANGE FLAVOUR),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21016006AZ,Zithrolide 500mg Powder for Solution for Infusion,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL21016008ACZ,TELSTRAN® Tablet 40mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21016009ACZ,TELSTRAN® Tablet 80mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21016013AZ,OLTAD 20MG FILM COATED TABLETS,KOMEDIC SDN BHD
MAL21016018XCZ,BioWell TERRAFAST 500mg TABLET,Vismedic Sdn. Bhd.
MAL21017001AZ,INJECSOL LIG2P (Lignocaine Hydrochloride Injection 2% w/v with Preservative),AIN MEDICARE SDN. BHD.
MAL21026038AZ,Pharmaniaga Magnesium Sulfate Concentrate 49.3% w/v Solution for Injection or Infusion,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL21026126NC,"Janipro Aladants Alpha Lipoic Acid, Resveratrol, B Complex + Vitamin A, C, E, Zinc, Selenium with Curcuma Longa & Probiotic L. Reuteri Capsule",Janipro (M) Sdn Bhd
MAL21026132NC,Janipro CSR Calcium Ascorbate + Acerola With Curcuma Longa & Probiotic Lactobacillus Acidophilus Capsule,Janipro (M) Sdn Bhd
MAL21026139NC,"Janipro Calcipro Curcuma Longa, Vitamin D3, K2 & Probiotic Bifidobacterium Longum with Calcium Plus Capsule",Janipro (M) Sdn Bhd
MAL21036010ARZ,"CoronaVac Suspension for Injection COVID-19 Vaccine (Vero Cell), Inactivated",PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL21036014X,RinsA CGC 15 (Chlorhexidine Gluconate 0.015% w/v and Cetrimide 0.15% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL21036015X,RinsA CGC 50 (Chlorhexidine Gluconate 0.05% w/v and Cetrimide 0.5% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL21036024AZ,Plax Film Coated Tablet 75mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21036030AZ,Novexib 200mg Capsules,CELESTEMAL PHARMA SDN. BHD.
MAL21036034AZ,Axcel Cefuroxime-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL21036070NC,"Janipro BZY B Complex + Vitamin C, E, Zinc With Curcuma Longa & Probiotic L. Plantarum Capsule",Janipro (M) Sdn Bhd
MAL21046016AZ,Linmycin Injection 300mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21046075NC,Janipro ATOZ Multivitamin-Multimineral Lutein & Lycopene Plus Curcuma Longa & Probiotic L. Rhamnosus Capsule,Janipro (M) Sdn Bhd
MAL21056029AZ,INJECSOL MgSO4 (Magnesium Sulfate 50% w/v Concentrated Injection),AIN MEDICARE SDN. BHD.
MAL21066021AZ,LYCAN INJECTION 2% W/V,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL21066033XZ,RinsCap ALco+ (Isopropyl Alcohol 75% v/v and Chlorhexidine Gluconate 0.5% w/v Hand Disinfectant),AIN MEDICARE SDN. BHD.
