es,en
4 mg comp.mast.x 30,4 mg comp.mast.x 30
5 mg comp.rec.x 56,5 mg comp.rec.x 56
50 mg comp.rec.x 10,50 mg comp.rec.x 10
500 mg comp.x 120,500 mg tablets x 120
500 mg f.a.x 1,500 mg f.a.x 1
80 mg comp.x 28,80 mg tablets x 28
a.x 100 x 5 ml,a.x 100 x 5 ml
Aguja p/aplicador de insulina,Insulin applicator needle
alcachofa+asoc.,artichoke+assoc.
amoxicilina+diclofenac,amoxicillin+diclofenac
Anticaspa,Anti-dandruff
Anticuerpo monoclonal,Monoclonal antibody
Antiedematoso,Anti-edematous
arnica montana+asoc.,arnica montana+assoc.
"bario,sulfato",barium sulfate
betacaroteno+asoc.,beta-carotene+assoc.
botella x 500 ml,500 ml bottle
cabergolina,cabergoline
cariprazina,cariprazine
ceftazidima,ceftazidime
ciprofloxacina+hidrocortisona,ciprofloxacin+hydrocortisone
comp.rec.x 21,comp.rec.x 21
congorosa,congorous
cr.x 15 g (VL),cr.x 15 g (VL)
doxiciclina,doxycycline
fenobarbital,phenobarbital
gefitinib,gefitinib
glicerina,glycerin
glimepiride+metformina,glimepiride+metformin
grag.x 30,grag.x 30
gts.oft.x 10 ml,gts.oft.x 10 ml
hidroxipropilmetilcelulosa,hydroxypropylmethylcellulose
"hierro,polimaltosato","iron, polymaltosate"
indometacina,indomethacin
ioversol,ioversol
jga.prell.x 1 x 0.5 ml,jga.prell.x 1 x 0.5 ml
lactulosa,lactulose
lansoprazol,lansoprazole
leucovorina,leucovorin
magnesio citrato,magnesium citrate
micofenolato mofetil,mycophenolate mofetil
neostigmina,neostigmine
nicotina,nicotine
nitroglicerina,nitroglycerine
pantenol+asoc.,panthenol+assoc.
paracetamol+fenilefrina,paracetamol+phenylephrine
poloxamer,poloxamer
Relajante neuromuscular,Neuromuscular relaxant
repaglinida,repaglinide
riociguat,Riociguat
saq.x 20 (VL),saq.x 20 (VL)
shamp.x 200 ml,shampoo x 200 ml
Suplemento mineral,Mineral supplement
susp.x 120 ml,susp.x 120 ml
tamoxifeno,tamoxifen
teriflunomida,teriflunomide
vacuna antigripal tetravalente,quadrivalent influenza vaccine
"vit.b,complejo+asoc.","vit. b,complex+assoc."
0.50 mg comp.x 60,0.50 mg tablets x 60
1 mg comp.rec.x 28,1 mg comp.rec.x 28
1 mg comp.x 100,1 mg comp.x 100
10 mg comp.rec.ran.x 30,10 mg comp.rec.ran.x 30
150 mg comp.x 8,150 mg tablets x 8
2.5 mg comp.x 20,2.5 mg tablets x 20
2.5 mg comp.x 50,2.5 mg tablets x 50
200 mg comp.rec.x 10,200 mg comp.rec.x 10
3 mg comp.x 30,3 mg tablets x 30
300 mg comp.rec.x 60,300 mg comp.rec.x 60
40 mg comp.x 30 (VL),40 mg comp.x 30 (VL)
400 mg comp.x 30,400 mg tablets x 30
45 mg comp.rec.x 30,45 mg comp.rec.x 30
5 mg comp.x 10,5 mg comp.x 10
50 mg comp.lib.prol.x 30,50 mg comp.lib.prol.x 30
50 mg comp.ran.x 30,50 mg tablets per 30 tablets
50/1000 mg comp.x 30,50/1000 mg tablets x 30
50/12.5 mg comp.rec.x 30,50/12.5 mg rec. tab. x 30
50/850 mg comp.x 60,50/850 mg tablets x 60
500 mg comp.rec.x 120,500 mg comp.rec.x 120
600 mg comp.rec.x 30,600 mg comp.rec.x 30
600 mg comp.x 20,600 mg tablets x 20
75 mg comp.rec.x 15,75 mg comp.rec.x 15
850 mg comp.x 30,850 mg tablets x 30
850 mg comp.x 60,850 mg tablets x 60
a.x 100 x 1 ml,a.x 100 x 1 ml
aceite de citronela,citronella oil
aceite de pescado+asoc.,fish oil+assoc.
"amilo,salicilato+asoc.","amyl,salicylate+assoc."
amiodarona,amiodarone
Antiinflam.Descongestivo,Anti-inflammatory and decongestant
apremilast,apremilast
arnica montana,Arnica montana
bisoprolol+hidroclorotiazida,bisoprolol+hydrochlorothiazide
cabazitaxel,cabazitaxel
cefalotina,cephalothin
cinitaprida,cinitapride
cladribina,cladribine
clorhexidina+xilitol,chlorhexidine+xylitol
comp.rec.x 14,comp.rec.x 14
comp.rec.x 40,comp.rec.x 40
comp.rec.x 50,comp.rec.x 50
comp.x 21,comp.x 21
cr.x 100 g,cr.x 100 g
cr.x 50 g,cr.x 50 g
"dapagliflozina+metformina,clorh.","dapagliflozin+metformin,chlorh."
darifenacina,darifenacin
Determ.cetonas en sangre,Blood ketone determination
dexametasona+clorfeniramina,dexamethasone+chlorpheniramine
diosmina,diosmin
dopamina,dopamine
drospirenona,drospirenone
"econazol,nitrato",econazole nitrate
env.x 800 g (VL),env.x 800 g (VL)
estriol,estriol
ezetimibe,ezetimibe
factor VIII,factor VIII
factor VIII+fact.von Willebrand,factor VIII+von Willebrand factor
fondaparinux,fondaparinux
fsh+lh,fsh+lh
gel oft.x 10 g,gel ophthalmic 10 g
gel x 40 g (VL),gel x 40 g (VL)
ginkgo biloba,ginkgo biloba
ginseng+asoc.,ginseng+assoc.
gts.oft.x 2.5 ml,gts.oft.x 2.5 ml
"hioscina,n-butilbr.+dipirona","hyoscine, n-butylbr.+dipyrone"
imiquimod,imiquimod
iopamidol,iopamidol
jga.prell.x 0.5 ml,jga.prell.x 0.5 ml
leflunomida,leflunomide
lenvatinib,lenvatinib
levadura de cerveza,brewer's yeast
limeciclina,lymecycline
linaclotida,linaclotide
"loteprednol,etabonato","loteprednol,etabonate"
mirtazapina,mirtazapine
mosapride,mosapride
nafazolina,naphazoline
nafazolina+asoc.,naphazoline+assoc.
nebivolol+hidroclorotiazida,nebivolol+hydrochlorothiazide
neutro env.x 500 ml (VL),neutral env.x 500 ml (VL)
noradrenalina,norepinephrine
omega 3,omega 3
oxicodona,oxycodone
paracetamol+asoc.,paracetamol+assoc.
pastillas de goma x 60 (VL),gumdrops x 60 (VL)
pioglitazona,pioglitazone
piroxicam,piroxicam
pouch x 1 x 5 g (VL),pouch x 1 x 5 g (VL)
pouch x 1.2 kg,pouch x 1.2 kg
propafenona,propafenone
Reconstituyente flora intest.,Restorative intestinal flora.
rifampicina,rifampicin
ropivacaina,ropivacaine
Sal bajo cont.en sodio,Low sodium salt
selexipag,selexipag
semaglutida,semaglutide
spirulina+asoc.,spirulina+assoc.
spray nasal x 120 ds.,nasal spray x 120 ds.
tapentadol,tapentadol
teneligliptina,teneligliptin
triamcinolona,triamcinolone
Tricomonicida,Trichomonicide
ung.oft.x 3.5 g,ung.oft.x 3.5 g
ung.x 15 g,ung.x 15 g
vainilla lata x 400 g (VL),vanilla can x 400 g (VL)
ziprasidona,ziprasidone
0.5 mg comp.x 50,0.5 mg tablets x 50
0.50 mg comp.x 30,0.50 mg tablets x 30
10 mg comp. x 30,10 mg tablets x 30
10 mg comp.ran.x 30,10 mg comp.ran.x 30
100 mg comp.ran.x 30,100 mg tablets per 30 tablets
12.5 mg comp.x 30,12.5 mg tablets x 30
15 mg comp.rec.x 60,15 mg comp.rec.x 60
150 mg comp.x 30,150 mg tablets x 30
150 mg iny.f.a.x 1,150 mg inj.f.a.x 1
2 mg comp.rec.x 30,2 mg comp.rec.x 30
2 mg comp.x 10,2 mg tablets x 10
2% cr.x 15 g,2% cr.x 15 g
20 mg comp.rec.x 1,20 mg comp.rec.x 1
20 mg comp.x 14 (VL),20 mg comp.x 14 (VL)
20 mg comp.x 30 (VL),20 mg comp.x 30 (VL)
20/10 mg comp.x 30,20/10 mg tablets x 30
200 mg comp.x 40,200 mg tablets x 40
25 mg comp.ran.x 30,25 mg comp.ran.x 30
25 mg comp.rec.x 28,25 mg comp.rec.x 28
3 mg comp.x 20,3 mg tablets x 20
300 mg comp.x 20,300 mg tablets x 20
320 mg comp.rec.x 30,320 mg comp.rec.x 30
40 mg comp.x 50,40 mg tablets x 50
400 mg comp.x 10,400 mg tablets x 10
50 mg comp.mast.x 2,50 mg comp.mast.x 2
50 mg comp.x 2,50 mg tablets x 2
50 mg comp.x 25,50 mg tablets x 25
50 mg comp.x 56,50 mg comp.x 56
50 mg iny.liof.f.a.x 1,50 mg inj.liof.f.a.x 1
50 mg liof.f.a.x 1,50 mg liof.f.a.x 1
50/1000 mg comp.rec.x 60,50/1000 mg rec. tab.x 60
50/500 mg comp.x 30,50/500 mg tablets x 30
500 mg comp.rec.x 50,500 mg comp.rec.x 50
6.25 mg comp.x 28,6.25 mg tablets x 28
60 mg comp.x 30,60 mg tablets x 30
600 mg comp.x 60,600 mg tablets x 60
875 mg comp.x 14,875 mg tablets x 14
90 mg comp.rec.x 28,90 mg comp.rec.x 28
90 mg comp.rec.x 30,90 mg comp.rec.x 30
Agonista LHRH,LHRH agonist
agua para inyectables,water for injections
alverina+simeticona,alverine+simethicone
ambroxol+butetamato,ambroxol+butetamate
amoxicilina+ambroxol,amoxicillin+ambroxol
Antiarrugas,Anti-wrinkle
Antiseborreico,Antiseborrheic
azatioprina,azathioprine
Bloqueante neuromusc.no despol.,Non-destructive neuromuscular blocker
"calcio,alginato",calcium alginate
carnitina+asoc.,carnitine+assoc.
cefazolina,cefazolin
ceramidas+asoc.,ceramides+assoc.
ciclofosfamida,cyclophosphamide
cinitaprida+simeticona,cinitapride+simethicone
ciproflox.+hidrocort.+lidocaina,ciproflox.+hydrocort.+lidocaine
cisplatino,cisplatin
citalopram,citalopram
citicolina,citicoline
clindamicina+ketoconazol,clindamycin+ketoconazole
clofedianol+bromhexina,chlophedianol+bromhexine
clorpromazina,chlorpromazine
colirio x 10 ml,eye drops x 10 ml
comp.rec.x 16,comp.rec.x 16
comp.rec.x 16 (VL),comp.rec.x 16 (VL)
comp.rec.x 8,comp.rec.x 8
comp.rec.x 8 (VL),comp.rec.x 8 (VL)
comp.x 16,comp.x 16
comp.x 8,comp.x 8
cr. x 50 ml (VL),cr. x 50 ml (VL)
Desodorante,Deodorant
dimenhidrinato,dimenhydrinate
dimeticona,dimethicone
dobutamina,dobutamine
env.x 1000 g (VL),env.x 1000 g (VL)
env.x 1000 ml (VL),env.x 1000 ml (VL)
env.x 250 ml (VL),env.x 250 ml (VL)
fco.x 200 ml (VL),fco.x 200 ml (VL)
fludarabina,fludarabine
fluorouracilo,fluorouracil
gemfibrozil,gemfibrozil
ginkgo biloba+ginseng+asoc.,ginkgo biloba+ginseng+assoc.
hidroxiurea,hydroxyurea
"hierro,sulfato+asoc.","iron, sulfate+assoc."
idebenona,idebenone
ketoconazol+hidrocort.+gentamic.,ketoconazole+hydrocort.+gentamic.
latanoprost+timolol,latanoprost+timolol
linezolid,linezolid
mebendazol,mebendazole
"meglumina,diatrizoato+asoc.","meglumine, diatrizoate+assoc."
metildopa,methyldopa
"metilo,salicilato+asoc.",methyl salicylate+assoc.
metronidazol+asoc.,metronidazole+assoc.
mitomicina,mitomycin
neomicina+asoc.,neomycin+assoc.
nitisinona,nitisinone
"nomegestrol,acetato+estradiol","nomegestrol, acetate + estradiol"
ocitocina,oxytocin
oximetazolina,oxymetazoline
"pancuronio,bromuro",pancuronium bromide
paracetamol+ibuprofeno,paracetamol + ibuprofen
pda.x 30 g,pda.x 30 g
"pinaverio,bromuro",pinaverium bromide
"potasio,citrato","potassium, citrate"
propinox,propinox
psyllium+asoc.,psyllium+assoc.
Regulador calcemia,Calcemia regulator
Rehidratante oral,Oral rehydration
"ruscogenina+meliloto,ext.fluido","ruscogenin+meliloto, fluid ext."
serenoa repens,Serenoa repens
sol.oft.x 15 ml,sol.oft.x 15 ml
sol.oft.x 15 ml (VL),sol.oft.x 15 ml (VL)
sol.oral x 2 ml,oral sol x 2 ml
sultiamo,sultiamo
susp.x 140 ml,susp.x 140 ml
susp.x 70 ml,susp.x 70 ml
susp.x 90 ml,susp.x 90 ml
tiras reactivas x 50,test strips x 50
tolterodina,tolterodine
trastuzumab,trastuzumab
Trat.de la hiperamonemia,Treatment of hyperammonemia
Trat.de la obesidad,Obesity treatment
Trat.litiasis renal,Kidney lithiasis treatment
Trat.p/tirosinemia tipo I,Treatment for tyrosinemia type I
vaselina+asoc.,Vaseline+assoc.
verapamilo,verapamil
vit.e+vit.a+asoc.,vit.e+vit.a+assoc.
"zinc,undecilenato+asoc.","zinc, undecylenate+assoc."
0.3% gel x 30 g,0.3% gel x 30 g
1 g comp.x 16,1 g comp.x 16
1 g f.a.x 25,1 g f.a.x 25
1 mg comp.rec.x 56,1 mg comp.rec.x 56
1 mg comp.rec.x 60,1 mg comp.rec.x 60
10 mg tab.x 30,10 mg tab.x 30
100 mg a.x 100 x 2 ml,100 mg a.x 100 x 2 ml
100 mg comp.rec.x 180,100 mg comp.rec.x 180
100 mg comp.x 20,100 mg tablets x 20
100 mg liof.f.a.x 1,100 mg liof.f.a.x 1
100/25 mg comp.rec.x 30,100/25 mg rec. tab. x 30
1000 mg comp.rec.x 60,1000 mg comp.rec.x 60
1000 mg f.a.x 50,1000 mg f.a.x 50
1000 mg iny.f.a.x 1,1000 mg inj.f.a.x 1
12.5 mg comp.x 28,12.5 mg tablets x 28
12.5/1000 comp.rec.x 60,12.5/1000 comp.rec.x 60
15 mg comp.x 20,15 mg tablets x 20
180 mg comp.x 30,180 mg tablets x 30
20 mg a.x 100 x 2 ml,20 mg a.x 100 x 2 ml
20 mg comp.x 28 (VL),20 mg comp.x 28 (VL)
200 mg comp.rec.x 60,200 mg comp.rec.x 60
3 mg comp.x 60,3 mg comp.x 60
30 mg comp.x 28,30 mg tablets x 28
300 mg comp.x 50,300 mg tablets x 50
40 mg comp.x 60,40 mg tablets x 60
40 mg jga.prell.x 10,40 mg jga.prell.x 10
5 mg comp.ran.x 30,5 mg comp.ran.x 30
5 mg comp.rec.x 14,5 mg comp.rec.x 14
5 mg comp.x 50,5 mg comp.x 50
5/850 comp.rec.x 60,5/850 comp.rec.x 60
50 mg comp.rec.x 2,50 mg comp.rec.x 2
50 mg comp.x 100,50 mg comp.x 100
50/850 mg comp.x 30,50/850 mg tablets x 30
500 mg comp.rec.x 8,500 mg comp.rec.x 8
500 mg comp.x 21,500 mg tablets x 21
500 mg f.a.x 25,500 mg f.a.x 25
60 mg comp.rec.x 120,60 mg comp.rec.x 120
60 mg comp.x 28,60 mg tablets x 28
60 mg jga.prell.x 10,60 mg jga.prell.x 10
600 mg sob.x 10,600 mg sachet x 10
70 mg comp.rec.x 60,70 mg comp.rec.x 60
75 mg comp.birran.x 30,75 mg comp.birran.x 30
8 mg comp.x 10,8 mg comp.x 10
8 mg comp.x 20,8 mg tablets x 20
80 mg comp.rec.x 28,80 mg comp.rec.x 28
850 mg comp.rec.AP x 30,850 mg comp.rec.AP x 30
90 mg comp.rec.x 14,90 mg comp.rec.x 14
acenocumarol,acenocoumarol
adalimumab,adalimumab
alimentos infantiles,baby food
amantadina,amantadine
amikacina,amikacin
Antiinfeccioso Antiinflamat.,Anti-infective Anti-inflammator.
Antimetabolito,Antimetabolite
Antiparkinsoniano Antiviral,Antiparkinsonian Antiviral
apalutamida,apalutamide
arginina,arginine
argireline+asoc.,argireline+assoc.
"benzalconio,cloruro+asoc.",benzalkonium chloride+assoc.
bimatoprost,bimatoprost
biperideno,biperiden
brick x 1000 ml,brick x 1000 ml
brik x 200 ml,200 ml carton
"calcio,carbonato",calcium carbonate
carvedilol+hidroclorotiazida,carvedilol+hydrochlorothiazide
cassia angustifolia,Cassia angustifolia
cefixima,cefixime
clobazam,clobazam
clomipramina,clomipramine
colagenasa+cloranfenicol+asoc.,collagenase+chloramphenicol+asoc.
colestiramina,cholestyramine
comp. x 30,comp. x 30
comp.eferv.x 30,comp.efferv.x 30
comp.ran.x 30,comp.ran.x 30
comp.ran.x 60,comp.ran.x 60
comp.x 14,comp.x 14
cr.x 50 ml (VL),cr.x 50 ml (VL)
cr.x 70 g (VL),cr.x 70 g (VL)
cr.x 75 g (VL),cr.x 75 g (VL)
creatina+asoc.,creatine+assoc.
"dietilamina,salicilato+asoc.","diethylamine, salicylate+assoc."
dolutegravir,dolutegravir
emuls.x 200 ml (VL),emuls.x 200 ml (VL)
Energizante masculino,Male energizer
env. x 200 ml (VL),env. x 200 ml (VL)
env.x 400 g (VL),env.x 400 g (VL)
escina+asoc.,escina+assoc.
Esclerosante,Sclerosant
Espesante instant.p/alimentos,Instant thickener.p/food
espuma de poliuretano+asoc.,polyurethane foam+assoc.
Estimulante folicular,Follicular stimulant
factor IX,factor IX
"famotidina+calcio,carbon.+asoc.","famotidine+calcium,carbon.+asoc."
fibra+asoc.,fiber+assoc.
flumazenil,flumazenil
ftalilsulfatiazol+asoc.,phthalylsulfathiazole+assoc.
gatifloxacina,gatifloxacin
gel x 100 g (VL),gel x 100 g (VL)
gel x 30 g (VL),gel x 30 g (VL)
"glatiramer,acetato",glatiramer acetate
hidroclorotiazida,hydrochlorothiazide
hidrosmina,hidrosmine
Hipolipemiante Antihipertens.,Hypolipidemic Antihypertensive.
Inhibidor secr.prolactina,Prolactin secretion inhibitor
insaponificables,unsaponifiables
insulina glargina,insulin glargine
iobitridol,iobitridol
iopromida,iopromide
ivacaftor,ivacaftor
jbe.x 100 ml (VL),jbe.x 100 ml (VL)
jbe.x 150 ml,jbe.x 150 ml
ketotifeno,ketotifen
lapatinib,lapatinib
levodopa+benserazida,levodopa+benserazide
lisinopril,lisinopril
"litio,carbonato",lithium carbonate
loc.x 120 ml (VL),loc.x 120 ml (VL)
Lubricante vaginal,Vaginal lubricant
lumacaftor+ivacaftor,lumacaftor+ivacaftor
mentol+alcanfor+asoc.,menthol+camphor+assoc.
"metionina,l-cistina,vit.c+asoc.","methionine, l-cystine, vit.c+asoc."
montelukast+levocetirizina,montelukast+levocetirizine
"morfina,sulfato",morphine sulfate
moxifloxacina,moxifloxacin
niacinamida,niacinamide
nimodipina+citicolina,nimodipine+citicoline
Normalizador neuromuscular,Neuromuscular normalizer
Pantalla solar,Sunscreen
perampanel,perampanel
piroxicam+carisoprodol+asoc.,piroxicam+carisoprodol+assoc.
polidocanol,polidocanol
pomo x 20 g (VL),knob x 20 g (VL)
pomo x 60 g (VL),knob x 60 g (VL)
pomo x 70 g (VL),knob x 70 g (VL)
"pridinol,mesilato",pridinol mesylate
psyllium,psyllium
pvo.x 100 g,pvo.x 100 g
pvo.x 50 g,pvo.x 50 g
ramipril,ramipril
riluzol,riluzole
risedronato,risedronate
"salbutamol+ipratropio,br.","salbutamol+ipratropium,br."
siponimod,siponimod
sob.x 30 (VL),over x 30 (VL)
"sodio,bicarbonato",sodium bicarbonate
"sodio,picosulfato+asoc.","sodium, picosulfate+assoc."
sol.x 120 ml (VL),sol.x 120 ml (VL)
sorafenib,sorafenib
test x 1 (VL),test x 1 (VL)
tolvaptan,tolvaptan
Trat.alcoholismo,Alcoholism treatment
Trat.angioedema hereditario,Hereditary angioedema treatment
travoprost,travoprost
vainilla env.x 220 ml (VL),vanilla env.x 220 ml (VL)
valaciclovir,valacyclovir
Vasoactivador cerebral,Cerebral vasoactivator
vit.b3+asoc.,vit.b3+assoc.
vit.k1,vit.k1
0.1% gel x 30 g,0.1% gel x 30 g
0.25 mg comp.x 30,0.25 mg tablets x 30
0.25 mg comp.x 60,0.25 mg tablets x 60
1 g comp.rec.x 14,1 g comp.rec.x 14
1 mg comp.ran.x 30,1 mg comp.ran.x 30
1.5 mg comp.x 1 (VL),1.5 mg comp.x 1 (VL)
10 mg comp.rec.ran.x 60,10 mg comp.rec.ran.x 60
10 mg comp.rec.x 20,10 mg comp.rec.x 20
10 mg comp.x 14,10 mg comp.x 14
10 mg comp.x 30 (VL),10 mg comp.x 30 (VL)
10/25 mg comp.x 30,10/25 mg tablets x 30
100 mg comp.dispers.x 30,100 mg comp.dispers.x 30
100 mg comp.x 2,100 mg tablets x 2
100 mg iny.liof.f.a.x 1,100 mg inj.liof.f.a.x 1
1000 mg comp.rec.AP x 60,1000 mg comp.rec.AP x 60
12.5/850 comp.rec.x 60,12.5/850 comp.rec.x 60
120 mg comp.rec.x 7,120 mg comp.rec.x 7
120 mg comp.x 30,120 mg tablets x 30
125 mg comp.rec.x 60,125 mg comp.rec.x 60
150 mg comp.rec.x 3,150 mg comp.rec.x 3
150 mg comp.x 20,150 mg tablets x 20
16 mg comp.x 60,16 mg tablets x 60
160 mg comp.rec.x 28,160 mg comp.rec.x 28
2 mg comp.rec.x 28,2 mg comp.rec.x 28
2 mg comp.x 28,2 mg comp.x 28
20 mg comp.x 15,20 mg tablets x 15
20 mg comp.x 2,20 mg tablets x 2
200 mg comp.dispers.x 30,200 mg comp.dispers.x 30
24 mg comp.x 60,24 mg tablets x 60
25 mg comp.dispers.x 30,25 mg comp.dispers.x 30
25 mg comp.x 56,25 mg comp.x 56
25 mg f.a.x 1,25 mg f.a.x 1
250 mg comp.x 20,250 mg tablets x 20
250 mg comp.x 28,250 mg tablets x 28
250 mg susp.x 60 ml,250 mg susp. x 60 ml
250 mg susp.x 90 ml,250 mg susp. x 90 ml
30 mg a.x 10 x 20 ml,30 mg a.x 10 x 20 ml
300 mg comp.rec.x 30,300 mg comp.rec.x 30
4 mg liof. f.a.x 1+solv.,4 mg liof. f.a.x 1+solv.
4.5 g f.a.x 50,4.5 g f.a.x 50
40 mg comp.rec.x 180,40 mg comp.rec.x 180
40 mg comp.rec.x 28,40 mg comp.rec.x 28
40 mg comp.x 28 (VL),40 mg comp.x 28 (VL)
40 mg jga.prell.x 2,40 mg jga.prell.x 2
400 mg comp.rec.x 20,400 mg comp.rec.x 20
5/1000 comp.rec.x 60,5/1000 comp.rec.x 60
50 mg comp.dispers.x 30,50 mg comp.dispers.x 30
50 mg comp.rec.x 15,50 mg comp.rec.x 15
50 mg comp.rec.x 20,50 mg comp.rec.x 20
50/1000 mg comp.rec.x 30,50/1000 mg rec. tab.x 30
50/500 mg comp.x 60,50/500 mg tablets x 60
50/850 mg comp.rec.x 60,50/850 mg rec. tab. x 60
500 mg comp.rec.AP x 30,500 mg comp.rec.AP x 30
500 mg comp.rec.AP x 60,500 mg comp.rec.AP x 60
500 mg comp.rec.x 5,500 mg comp.rec.x 5
500 mg comp.x 10 (VL),500 mg comp.x 10 (VL)
6 mg comp.x 30,6 mg comp.x 30
6.25 mg comp.ran.x 30,6.25 mg comp.ran.x 30
6.25 mg comp.x 30,6.25 mg tablets x 30
60 mg f.a.x 1,60 mg f.a.x 1
600 mg a.x 100 x 4 ml,600 mg a.x 100 x 4 ml
75 mg comp.rec.x 20,75 mg comp.rec.x 20
75 mg comp.x 10,75 mg comp.x 10
850 mg comp.rec.AP x 60,850 mg comp.rec.AP x 60
850 mg comp.rec.x 30,850 mg comp.rec.x 30
850 mg comp.rec.x 60,850 mg comp.rec.x 60
90 mg comp.x 30,90 mg tablets x 30
a.x 1,a.x 1
a.x 100 x 10 ml,a.x 100 x 10 ml
a.x 100 x 2 ml,a.x 100 x 2 ml
acalabrutinib,acalabrutinib
aceite de citronela+aceite de jojoba,citronella oil+jojoba oil
adrenalina,adrenalin
aer.x 250 dosis,aer.x 250 doses
Agonista adrenorreceptor alfa-2,Alpha-2 adrenoreceptor agonist
ajo+vit.c,garlic+vit.c
allopurinol+colchicina,allopurinol+colchicine
Antiacneico Antiseborreico,Anti-acne Anti-seborrheic
Antimicrobiano.Reepitaliz.vag.,Antimicrobial.Reepitaliz.vag.
Antiplaquetario Vasodilatador,Antiplatelet Vasodilator
"atropina,sulfato",atropine sulfate
"bencidamina,clorhidrato",benzydamine hydrochloride
betametasona (diprop.y f.disod.),betamethasone (diprop.y f.disod.)
bomba x 50 g (VL),bomb x 50 g (VL)
brexpiprazol,brexpiprazole
brimonidina+timolol,brimonidine+timolol
"calcio,gluconato",calcium gluconate
calcitriol,calcitriol
carbomer,carbomer
cistina+biotina+zinc+asoc.,cystine+biotin+zinc+assoc.
citicolina+dihidroergotoxina,citicoline+dihydroergotoxine
"clomifeno,citrato",clomiphene citrate
cola de caballo+asoc.,horsetail+assoc.
comp.rec.lib.prol.x 56,comp.rec.lib.prol.x 56
comp.rec.x 84,comp.rec.x 84
comp.x 100 (VL),comp.x 100 (VL)
comp.x 12,comp.x 12
comp.x 6,comp.x 6
comp.x 90 (VL),comp.x 90 (VL)
cr.x 10 g,cr.x 10 g
cr.x 150 g (VL),cr.x 150 g (VL)
crema x 50 g (VL),cream x 50 g (VL)
cynara scolymus+asoc.,cynara scolymus+asoc.
dexmedetomidina,dexmedetomidine
diclofenac dietilamonio,diclofenac diethylammonium
difenhidramina+asoc.,diphenhydramine+assoc.
digoxina,digoxin
dimeticona+asoc.,dimethicone+assoc.
domperidona+simeticona,domperidone+simethicone
doxazosina,doxazosin
edaravona,edaravone
emtricitabina+tenofovirdisoprox.,emtricitabine+tenofovirdisoprox.
emuls.x 400 ml (VL),emuls.x 400 ml (VL)
env.x 15 ml (VL),env.x 15 ml (VL)
env.x 50 g (VL),env.x 50 g (VL)
erdafitinib,erdafitinib
ergonovina,ergonovine
Estabilizador transtiretina (TTR),Transthyretin stabilizer (TTR)
etilbutil acetilamino propionato,ethylbutyl acetylamino propionate
Exfoliante,Exfoliant
extractos naturales+asoc.,natural extracts+assoc.
faseolamina+asoc.,phaseolamin+assoc.
fco.gotero x 10 ml,fco.dropper x 10 ml
fco.x 20 ml (VL),fco.x 20 ml (VL)
fco.x 250 ml (VL),fco.x 250 ml (VL)
flurbiprofeno,flurbiprofen
fucus+asoc.,fucus+assoc.
garcinia cambogia+l-carnitina+asoc.,garcinia cambogia+l-carnitine+asoc.
gel x 60 g (VL),gel x 60 g (VL)
gluconolactona+asoc.,gluconolactone+assoc.
grag.x 20,grag.x 20
grag.x 21,grag.x 21
grag.x 50,grag.x 50
hexilresorcinol+asoc.,hexylresorcinol+assoc.
hidroxicina,hydroxyzine
hidroxicloroquina,hydroxychloroquine
ifosfamida,ifosfamide
indapamida,indapamide
Inhibidor de las enzimas poli ADP-ribopolimerasa,Inhibitor of poly ADP-ribopolymerase enzymes
Inmunoterapia oral,Oral immunotherapy
