PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Mylan Pharmaceuticals ULC,,ACYCLOVIR,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Mylan-Acyclovir 800mg Tab,02242464,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ACYCLOVIR,,0.96,REIMBURSABLE WITH COPAY,0.89,0.07,Mylan-Acyclovir 400mg Tab,02242463,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ACYCLOVIR,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Mylan-Acyclovir 200mg Tab,02242784,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACYCLOVIR,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Teva-Acyclovir 200mg Tab,02285959,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACYCLOVIR,,0.96,REIMBURSABLE WITH COPAY,0.89,0.07,Teva-Acyclovir 400mg Tab,02285967,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ACYCLOVIR,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Teva-Acyclovir 800mg Tab,02285975,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"GlaxoSmithKline Inc., GlaxoSmithKline Consumer Health Care",,ACYCLOVIR,,,NON REIMBURSABLE,,,Zovirax (Not a Benefit) 400mg Tab,01911627,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"GlaxoSmithKline Inc., GlaxoSmithKline Consumer Health Care",,ACYCLOVIR,,5.47,REIMBURSABLE WITH COPAY,1.27,4.21,Zovirax 800mg Tab,01911635,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"GlaxoSmithKline Inc., GlaxoSmithKline Consumer Health Care",,ACYCLOVIR,,,NON REIMBURSABLE,,,Zovirax (Not a Benefit) 200mg Tab,00634506,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ACYCLOVIR,,13.30,REIMBURSABLE WITH COPAY,12.31,0.98,Apo-Acyclovir Ointment (Off-Formulary Interchangeable) 5% Top Oint,02477130,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,ACYCLOVIR,,13.30,REIMBURSABLE WITH COPAY,12.31,0.98,Taro-Acyclovir (Off-Formulary Interchangeable) 5% Top Oint,02522306,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Valeant Canada Ltd.,,ACYCLOVIR,,,NON REIMBURSABLE,,,Zovirax (Off-Formulary Interchangeable) 5% Top Oint,00569771,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,254.49,REIMBURSABLE WITH COPAY,235.63,18.85,Hyrimoz 20mg/0.2mL Inj Sol-0.2mL Pref Syr (Preservative-Free),02542315,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Samsung Bioepis Co. Ltd,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hadlima PushTouch 40mg/0.4mL Inj Sol-0.4mL Autoinj (Preservative-Free),02533480,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Celltrion Healthcare Co. Ltd.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Yuflyma 40mg/0.4mL Inj Sol-0.4mL Pref Autoinj Pen (Preservative-Free),02523779,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Simlandi 40mg/0.4mL Inj Sol-0.4mL Pref Autoinj Syr (Preservative-Free),02523957,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hyrimoz 40mg/0.4mL Inj Sol-0.4mL Pref Pen (Preservative-Free),02542331,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,ADALIMUMAB,,254.48,REIMBURSABLE WITH COPAY,235.63,18.85,Abrilada 20mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02511061,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,ADALIMUMAB,,254.49,REIMBURSABLE WITH COPAY,235.64,18.85,Amgevita 20mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02459310,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Samsung Bioepis Co. Ltd,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hadlima 40mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02533472,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,BGP Pharma ULC,,ADALIMUMAB,,254.49,REIMBURSABLE WITH COPAY,235.63,18.85,Hulio 20mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02502380,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,254.49,REIMBURSABLE WITH COPAY,235.63,18.85,Hyrimoz 20mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02505258,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hyrimoz 40mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02542323,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Simlandi 40mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02523949,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Celltrion Healthcare Co. Ltd.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Yuflyma 40mg/0.4mL Inj Sol-0.4mL Pref Syr (Preservative-Free),02523760,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Amgevita 40mg/0.8mL Inj Sol-0.8mL Pref Autoinj (Preservative-Free),02459302,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Samsung Bioepis Co. Ltd,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hadlima PushTouch 40mg/0.8mL Inj Sol-0.8mL Pref Autoinj (Preservative-Free),02473100,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hyrimoz 40mg/0.8mL Inj Sol-0.8mL Pref Autoinj (Preservative-Free),02492156,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Abrilada 40mg/0.8mL Inj Sol-0.8mL Pref Pen (Preservative-Free),02511045,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,BGP Pharma ULC,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hulio 40mg/0.8mL Inj Sol-0.8mL Pref Pen (Preservative-Free),02502402,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,1017.94,REIMBURSABLE WITH COPAY,942.54,75.40,Hyrimoz 80mg/0.8mL Inj Sol-0.8mL Pref Pen (Preservative-Free),02542366,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Fresenius Kabi Canada Ltd.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Idacio 40mg/0.8mL Inj Sol-0.8mL Pref Pen (Preservative-Free),02502674,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Celltrion Healthcare Co. Ltd.,,ADALIMUMAB,,1017.94,REIMBURSABLE WITH COPAY,942.54,75.40,Yuflyma 80mg/0.8mL Inj Sol-0.8mL Pref Pen (Preservative-Free),02535084,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Abrilada 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02511053,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Amgevita 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02459299,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Samsung Bioepis Co. Ltd,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hadlima 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02473097,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,BGP Pharma ULC,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hulio 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02502399,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Hyrimoz 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02492164,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADALIMUMAB,,1017.94,REIMBURSABLE WITH COPAY,942.54,75.40,Hyrimoz 80mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02542358,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Fresenius Kabi Canada Ltd.,,ADALIMUMAB,,508.97,REIMBURSABLE WITH COPAY,471.27,37.70,Idacio 40mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02502682,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ADALIMUMAB,,1017.94,REIMBURSABLE WITH COPAY,942.54,75.40,Simlandi 80mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02523965,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Celltrion Healthcare Co. Ltd.,,ADALIMUMAB,,1017.94,REIMBURSABLE WITH COPAY,942.54,75.40,Yuflyma 80mg/0.8mL Inj Sol-0.8mL Pref Syr (Preservative-Free),02535076,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADAPALENE & BENZOYL PEROXIDE,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Sandoz Adapalene/ Benzoyl Peroxide (Off-Formulary Interchangeable) 0.1%w/w & 2.5%w/w Top Gel,02489007,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ADAPALENE & BENZOYL PEROXIDE,,2.33,REIMBURSABLE WITH COPAY,2.16,0.17,Sandoz Adapalene/Benzoyl Peroxide (Off-Formulary Interchangeable) 0.3% w/w & 2.5% w/w Top Gel,02517205,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Galderma Canada Inc,,ADAPALENE & BENZOYL PEROXIDE,,,NON REIMBURSABLE,,,TactuPump (Off-Formulary Interchangeable) 0.1%w/w & 2.5%w/w Top Gel,02365871,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Galderma Canada Inc,,ADAPALENE & BENZOYL PEROXIDE,,,NON REIMBURSABLE,,,TactuPump Forte (Off-Formulary Interchangeable) 0.3% w/w & 2.5% w/w Top Gel,02446235,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,ADAPALENE & BENZOYL PEROXIDE,,1.37,REIMBURSABLE WITH COPAY,1.27,0.10,Taro-Adapalene/Benzoyl Peroxide (Off-Formulary Interchangeable) 0.1%w/w & 2.5%w/w Top Gel,02456923,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,ADAPALENE & BENZOYL PEROXIDE,,2.33,REIMBURSABLE WITH COPAY,2.16,0.17,Taro-Adapalene/Benzoyl Peroxide Forte (Off-Formulary Interchangeable) 0.3% w/w & 2.5% w/w Top Gel,02505053,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,ADEFOVIR DIPIVOXIL,,22.59,REIMBURSABLE WITH COPAY,20.91,1.67,AA-Adefovir (Off-Formulary Interchangeable) 10mg Tab,02420333,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Gilead Sciences Canada, Inc.",,ADEFOVIR DIPIVOXIL,,,NON REIMBURSABLE,,,Hepsera (Off-Formulary Interchangeable) 10mg Tab,02247823,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Boehringer-Ingelheim (Canada) Ltd./Ltee,,AFATINIB,,83.68,REIMBURSABLE WITH COPAY,38.74,44.94,Giotrif (Off-Formulary Interchangeable) 40mg Tab,02415682,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Boehringer-Ingelheim (Canada) Ltd./Ltee,,AFATINIB,,83.68,REIMBURSABLE WITH COPAY,38.74,44.94,Giotrif (Off-Formulary Interchangeable) 30mg Tab,02415674,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Boehringer-Ingelheim (Canada) Ltd./Ltee,,AFATINIB,,83.68,REIMBURSABLE WITH COPAY,38.74,44.94,Giotrif (Off-Formulary Interchangeable) 20mg Tab,02415666,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Mar-Afatinib (Off-Formulary Interchangeable) 40mg Tab,02517035,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Mar-Afatinib (Off-Formulary Interchangeable) 20mg Tab,02517019,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Mar-Afatinib (Off-Formulary Interchangeable) 30mg Tab,02517027,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Sandoz AFAtinib (Off-Formulary Interchangeable) 40mg Tab,02512793,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Sandoz AFAtinib (Off-Formulary Interchangeable) 30mg Tab,02512785,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,AFATINIB,,41.84,REIMBURSABLE WITH COPAY,38.74,3.10,Sandoz AFAtinib (Off-Formulary Interchangeable) 20mg Tab,02512777,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,AFLIBERCEPT,,918.86,REIMBURSABLE WITH COPAY,850.80,68.06,Aflivu 2mg/0.05mL Inj Sol-0.05mL Pref Syr (Preservative-Free),02554178,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Health Care Division",,AFLIBERCEPT,,1531.44,REIMBURSABLE WITH COPAY,1418.00,113.44,Eylea 40mg/mL Inj Sol-0.05mL Pref Syr (Preservative-Free),02505355,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Biosimilar Collaborations Ireland Limited,,AFLIBERCEPT,,918.86,REIMBURSABLE WITH COPAY,850.80,68.06,Yesafili 2mg/0.05mL Inj Sol-0.05mL Pref Syr (Preservative-Free),02558238,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Health Care Division",,AFLIBERCEPT,,1350.00,REIMBURSABLE WITH COPAY,1250.00,100.00,Eylea HD 8mg/0.07mL Inj Sol-0.07mL Pref Syr,02554798,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Health Care Division",,AFLIBERCEPT,,1350.00,REIMBURSABLE WITH COPAY,1250.00,100.00,Eylea HD 8mg/0.07mL Inj Sol-0.07mL Vial Pk,02545004,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,AFLIBERCEPT,,918.86,REIMBURSABLE WITH COPAY,850.80,68.06,Aflivu 2mg/0.05mL Sol for Intravitreal Inj-0.05mL Vial Pk,02554194,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Health Care Division",,AFLIBERCEPT,,1531.44,REIMBURSABLE WITH COPAY,1418.00,113.44,Eylea 40mg/mL Sol for Intravitreal Inj-0.05mL Vial Pk,02415992,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Biosimilar Collaborations Ireland Limited,,AFLIBERCEPT,,918.86,REIMBURSABLE WITH COPAY,850.80,68.06,Yesafili 2mg/0.05mL Sol for Intravitreal Inj-0.05mL Vial Pk,02535858,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Angita Pharma Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,AG-Alendronate 70mg Tab,02485184,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Alendronate 70mg Tab,02299712,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Alendronate 70mg Tab,02352966,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Alendronate Sodium Tablets 70mg Tab,02381494,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,ALENDRONATE,,1.12,REIMBURSABLE WITH COPAY,1.04,0.08,Alendronate Sodium Tablets (Off-Formulary Interchangeable) 5mg Tab,02381478,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Alendronate Sodium Tablets 10mg Tab,02381486,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Apo-Alendronate 70mg Tab,02248730,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ALENDRONATE,,1.12,REIMBURSABLE WITH COPAY,1.04,0.08,Apo-Alendronate (Off-Formulary Interchangeable) 5mg Tab,02248727,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Apo-Alendronate 10mg Tab,02248728,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Auro-Alendronate 10mg Tab,02388545,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Auro-Alendronate 70mg Tab,02388553,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Merck Frosst Canada Ltd.,,ALENDRONATE,,,NON REIMBURSABLE,,,Fosamax (Not a Benefit) 10mg Tab,02201011,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Organon Canada Inc.,,ALENDRONATE,,13.63,REIMBURSABLE WITH COPAY,1.78,11.85,Fosamax 70mg Tab,02245329,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Merck Frosst Canada Ltd.,,ALENDRONATE,,,NON REIMBURSABLE,,,Fosamax (Off-Formulary Interchangeable) 5mg Tab,02233055,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Jamp Alendronate Sodium 70mg Tab,02500175,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Jamp-Alendronate 70mg Tab,02385031,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,M-Alendronate 70mg Tab,02529394,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Mint-Alendronate 70mg Tab,02394871,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Mint-Alendronate 10mg Tab,02394863,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Nora Pharma,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,NRA-Alendronate 70mg Tab,02523116,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,PMS-Alendronate-FC 70mg Tab,02284006,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Ran-Alendronate 10mg Tab,02384701,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Laboratoire Riva Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Riva-Alendronate 70mg Tab,02270889,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Sandoz Alendronate 70mg Tab,02288109,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Sandoz Alendronate 10mg Tab,02288087,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ALENDRONATE,,1.92,REIMBURSABLE WITH COPAY,1.78,0.14,Teva-Alendronate 70mg Tab,02261715,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ALENDRONATE,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Teva-Alendronate 10mg Tab,02247373,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,ALENDRONATE,,1.12,REIMBURSABLE WITH COPAY,1.04,0.08,Teva-Alendronate (Off-Formulary Interchangeable) 5mg Tab,02248251,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ALENDRONATE & CHOLECALCIFEROL,,2.63,REIMBURSABLE WITH COPAY,2.43,0.19,Apo-Alendronate/Vitamin D3 70mg & 70mcg Tab,02454467,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,ALENDRONATE & CHOLECALCIFEROL,,2.63,REIMBURSABLE WITH COPAY,2.43,0.19,Apo-Alendronate/Vitamin D3 70mg & 140mcg Tab,02454475,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Organon Canada Inc.,,ALENDRONATE & CHOLECALCIFEROL,,5.98,REIMBURSABLE WITH COPAY,2.43,3.54,Fosavance 70mg & 70mcg Tab,02276429,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Organon Canada Inc.,,ALENDRONATE & CHOLECALCIFEROL,,5.86,REIMBURSABLE WITH COPAY,2.43,3.42,Fosavance 70mg & 140mcg Tab,02314940,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ALENDRONATE & CHOLECALCIFEROL,,2.63,REIMBURSABLE WITH COPAY,2.43,0.19,Jamp Alendronate/Vitamin D3 70mg & 70mcg Tab,02519828,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ALENDRONATE & CHOLECALCIFEROL,,2.63,REIMBURSABLE WITH COPAY,2.43,0.19,Jamp Alendronate/Vitamin D3 70mg & 140mcg Tab,02519836,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,ALFACALCIDOL,,0.68,REIMBURSABLE WITH COPAY,0.43,0.25,One-Alpha 0.25mcg Cap,00474517,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,ALFACALCIDOL,,2.03,REIMBURSABLE WITH COPAY,1.29,0.74,One-Alpha 1mcg Cap,00474525,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ALFACALCIDOL,,0.47,REIMBURSABLE WITH COPAY,0.43,0.03,Sandoz Alfacalcidol 0.25mcg Cap,02533316,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ALFACALCIDOL,,1.39,REIMBURSABLE WITH COPAY,1.29,0.10,Sandoz Alfacalcidol 1mcg Cap,02533324,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,ALFACALCIDOL,,8.16,REIMBURSABLE WITH COPAY,7.55,0.60,One-Alpha Drops 2mcg/mL Oral Drops,02240329,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,ALFUZOSIN HYDROCHLORIDE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Alfuzosin 10mg Prolong-Rel Tab,02519844,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,ALFUZOSIN HYDROCHLORIDE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Alfuzosin 10mg Prolong-Rel Tab,02447576,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ALFUZOSIN HYDROCHLORIDE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Apo-Alfuzosin 10mg Prolong-Rel Tab,02315866,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,ALFUZOSIN HYDROCHLORIDE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Auro-Alfuzosin 10mg Prolong-Rel Tab,02443201,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,ALFUZOSIN HYDROCHLORIDE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Sandoz Alfuzosin 10mg Prolong-Rel Tab,02304678,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,ALFUZOSIN HYDROCHLORIDE,,1.18,REIMBURSABLE WITH COPAY,0.26,0.92,Xatral 10mg Prolong-Rel Tab,02245565,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanofi-Aventis Canada Inc.,,ALIROCUMAB,,289.26,REIMBURSABLE WITH COPAY,267.83,21.43,Praluent 75mg/mL Inj Sol-Pref Pen,02453819,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Sanofi-Aventis Canada Inc.,,ALIROCUMAB,,289.26,REIMBURSABLE WITH COPAY,267.83,21.43,Praluent 150mg/mL Inj Sol-Pref Pen,02453835,UNIT,NO,YES,NO,CAD,NORTH AMERICA
